annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic
5,La madre costruisce la personalità del figlio,6,7
5,Adele calpesta i sogni della figlia ,4,6
5,Carlo calcia le critiche degli invidiosi ,5,6
5,L' architetto saltella da un' idea all' altra ,6,7
5,Lo studente zoppica verso l' esame di storia,4,6
5,Lisa corre verso l' amore con ingenuità,5,6
5,Il nonno cammina tra i ricordi d' infanzia,7,7
5,L' imprenditore segue l' istinto con decisione,6,7
5,Aldo fugge dagli obblighi del matrimonio,4,6
5,Marco percorre il destino del campione,6,7
5,Sofia attraversa le difficoltà con coraggio,6,7
5,Mario arriva alla decisione con fatica,4,6
5,Il paziente salta l' appuntamento con il dottore,3,2
5,Marta giunge alla conclusione del discorso,7,7
5,Il critico entra nella discussione con foga,6,7
5,Luigi avanza tra i problemi della vita,4,6
5,Giorgio passa dalla gioia alla disperazione ,5,6
5,L' uomo raggiunge la felicità per un istante,7,6
5,La vicina scende nei particolari della storia,6,7
5,Mara inciampa negli imprevisti della vita,4,6
5,Nino esce dall' ossessione delle scommesse,5,6
5,Lo psicologo perlustra l' animo del paziente,6,7
5,L' adolescente girovaga nei sogni di successo,5,6
5,L' operaio arranca verso la paga di fine-mese,4,6
5,Elena scivola sulla domanda di filosofia,3,2
5,Il padre sgattaiola dall' impegno dei figli,4,5
5,Luca scappa dalla realtà con la meditazione,6,6
5,L' artista pedala sull' ispirazione del momento,5,7
5,Il direttore pesta i diritti dei lavoratori,5,6
5,Franco scalcia i rimorsi di coscienza,5,7
5,La ragazza passeggia tra le pagine del diario,5,6
6,Alice disegna il suo futuro con Alberto,5,4
6,Laura ricama il discorso con tanti dettagli,5,6
6,Guido timbra il passaggio all' età adulta ,6,5
6,Gaia rammenda i rapporti con i genitori,6,6
6,Il giornalista accende l'interesse di Luca,4,5
6,Il professore apre la mente degli alunni,5,7
6,Il laureato chiude un capitolo della sua vita,6,6
6,Matilde getta la tristezza alle spalle,5,5
6,Il carabiniere monta gli indizi del delitto,6,6
6,La nonna attacca i ricordi nella memoria,6,6
6,Lo scienziato spacca il problema nei dettagli,6,7
6,Il cacciatore rompe la quiete del bosco,5,6
6,Monica butta le speranze nel dimenticatoio,6,6
6,Vittorio spezza la noia con un film,6,5
6,L'avvocato tocca il centro della questione,6,7
6,Il politico trita le idee degli avversari,4,6
6,Annalisa scava i segreti dell'animo ,6,6
6,Marcella colpisce il cuore del suo fidanzato,6,6
6,Antonio solleva il dolore del suo amico,6,6
6,Alessandro versa le energie nello studio,6,6
6,Il poliziotto strappa una confessione al ladro,6,6
6,Elisa spazza i problemi con decisione,6,6
6,Anna raccoglie le confidenze dell' amica,5,6
6,Sara sciacqua la coscienza con la beneficienza,6,7
6,Il giudice addita le colpe degli imputati,6,7
6,Il dirigente cuce nuovi rapporti di lavoro,6,6
6,Il giovane coglie l' opportunità con entusiasmo,6,7
6,L' inventore sfoglia le idee nella sua testa,6,6
6,Silvia afferra l' intuizione del collega,6,6
6,La madre costruisce la personalità del figlio,6,6
6,Adele calpesta i sogni della figlia ,6,4
6,Carlo calcia le critiche degli invidiosi ,6,5
6,L' architetto saltella da un' idea all' altra ,6,6
6,Lo studente zoppica verso l' esame di storia,5,4
6,Lisa corre verso l' amore con ingenuità,6,5
6,Il nonno cammina tra i ricordi d' infanzia,6,6
6,L' imprenditore segue l' istinto con decisione,6,7
6,Aldo fugge dagli obblighi del matrimonio,6,6
6,Marco percorre il destino del campione,6,6
6,Sofia attraversa le difficoltà con coraggio,6,6
6,Mario arriva alla decisione con fatica,5,5
6,Il paziente salta l' appuntamento con il dottore,4,3
6,Marta giunge alla conclusione del discorso,6,6
6,Il critico entra nella discussione con foga,6,6
6,Luigi avanza tra i problemi della vita,6,6
6,Giorgio passa dalla gioia alla disperazione ,6,6
6,L' uomo raggiunge la felicità per un istante,6,5
6,La vicina scende nei particolari della storia,6,6
6,Mara inciampa negli imprevisti della vita,6,6
6,Nino esce dall' ossessione delle scommesse,6,6
6,Lo psicologo perlustra l' animo del paziente,6,6
6,L' adolescente girovaga nei sogni di successo,6,6
6,L' operaio arranca verso la paga di fine-mese,6,4
6,Elena scivola sulla domanda di filosofia,5,6
6,Il padre sgattaiola dall' impegno dei figli,5,4
6,Luca scappa dalla realtà con la meditazione,6,6
6,L' artista pedala sull' ispirazione del momento,6,7
6,Il direttore pesta i diritti dei lavoratori,4,5
6,Franco scalcia i rimorsi di coscienza,6,6
6,La ragazza passeggia tra le pagine del diario,6,6
7,Alice disegna il suo futuro con Alberto,4,5
7,Laura ricama il discorso con tanti dettagli,3,6
7,Guido timbra il passaggio all' età adulta ,6,7
7,Gaia rammenda i rapporti con i genitori,4,6
7,Il giornalista accende l'interesse di Luca,5,6
7,Il professore apre la mente degli alunni,6,7
7,Il laureato chiude un capitolo della sua vita,5,6
7,Matilde getta la tristezza alle spalle,4,5
7,Il carabiniere monta gli indizi del delitto,5,7
7,La nonna attacca i ricordi nella memoria,3,5
7,Lo scienziato spacca il problema nei dettagli,5,7
7,Il cacciatore rompe la quiete del bosco,4,6
7,Monica butta le speranze nel dimenticatoio,4,5
7,Vittorio spezza la noia con un film,5,6
7,L'avvocato tocca il centro della questione,6,7
7,Il politico trita le idee degli avversari,5,6
7,Annalisa scava i segreti dell'animo ,4,6
7,Marcella colpisce il cuore del suo fidanzato,4,5
7,Antonio solleva il dolore del suo amico,5,7
7,Alessandro versa le energie nello studio,5,6
7,Il poliziotto strappa una confessione al ladro,6,7
7,Elisa spazza i problemi con decisione,5,6
7,Anna raccoglie le confidenze dell' amica,4,6
7,Sara sciacqua la coscienza con la beneficienza,5,6
7,Il giudice addita le colpe degli imputati,6,7
7,Il dirigente cuce nuovi rapporti di lavoro,5,6
7,Il giovane coglie l' opportunità con entusiasmo,6,7
7,L' inventore sfoglia le idee nella sua testa,5,6
7,Silvia afferra l' intuizione del collega,5,6
7,La madre costruisce la personalità del figlio,6,7
7,Adele calpesta i sogni della figlia ,4,5
7,Carlo calcia le critiche degli invidiosi ,5,5
7,L' architetto saltella da un' idea all' altra ,5,6
7,Lo studente zoppica verso l' esame di storia,3,5
7,Lisa corre verso l' amore con ingenuità,4,5
7,Il nonno cammina tra i ricordi d' infanzia,6,7
7,L' imprenditore segue l' istinto con decisione,5,7
7,Aldo fugge dagli obblighi del matrimonio,4,5
7,Marco percorre il destino del campione,5,7
7,Sofia attraversa le difficoltà con coraggio,6,7
7,Mario arriva alla decisione con fatica,4,6
7,Il paziente salta l' appuntamento con il dottore,3,4
7,Marta giunge alla conclusione del discorso,5,7
7,Il critico entra nella discussione con foga,5,6
7,Luigi avanza tra i problemi della vita,4,6
7,Giorgio passa dalla gioia alla disperazione ,5,6
7,L' uomo raggiunge la felicità per un istante,5,6
7,La vicina scende nei particolari della storia,5,6
7,Mara inciampa negli imprevisti della vita,4,5
7,Nino esce dall' ossessione delle scommesse,4,6
7,Lo psicologo perlustra l' animo del paziente,5,7
7,L' adolescente girovaga nei sogni di successo,4,5
7,L' operaio arranca verso la paga di fine-mese,4,4
7,Elena scivola sulla domanda di filosofia,3,4
7,Il padre sgattaiola dall' impegno dei figli,4,5
7,Luca scappa dalla realtà con la meditazione,5,6
7,L' artista pedala sull' ispirazione del momento,5,6
7,Il direttore pesta i diritti dei lavoratori,5,6
7,Franco scalcia i rimorsi di coscienza,4,5
7,La ragazza passeggia tra le pagine del diario,4,6
8,Alice disegna il suo futuro con Alberto,4,3
8,Laura ricama il discorso con tanti dettagli,6,5
8,Guido timbra il passaggio all' età adulta ,5,4
8,Gaia rammenda i rapporti con i genitori,5,6
8,Il giornalista accende l'interesse di Luca,6,5
8,Il professore apre la mente degli alunni,6,7
8,Il laureato chiude un capitolo della sua vita,6,6
8,Matilde getta la tristezza alle spalle,6,6
8,Il carabiniere monta gli indizi del delitto,5,7
8,La nonna attacca i ricordi nella memoria,6,6
8,Lo scienziato spacca il problema nei dettagli,6,7
8,Il cacciatore rompe la quiete del bosco,4,5
8,Monica butta le speranze nel dimenticatoio,6,4
8,Vittorio spezza la noia con un film,6,5
8,L'avvocato tocca il centro della questione,5,6
8,Il politico trita le idee degli avversari,6,5
8,Annalisa scava i segreti dell'animo ,5,6
8,Marcella colpisce il cuore del suo fidanzato,5,6
8,Antonio solleva il dolore del suo amico,6,6
8,Alessandro versa le energie nello studio,4,6
8,Il poliziotto strappa una confessione al ladro,6,7
8,Elisa spazza i problemi con decisione,6,6
8,Anna raccoglie le confidenze dell' amica,6,6
8,Sara sciacqua la coscienza con la beneficienza,3,6
8,Il giudice addita le colpe degli imputati,6,7
8,Il dirigente cuce nuovi rapporti di lavoro,6,6
8,Il giovane coglie l' opportunità con entusiasmo,6,7
8,L' inventore sfoglia le idee nella sua testa,5,6
8,Silvia afferra l' intuizione del collega,5,6
8,La madre costruisce la personalità del figlio,6,7
8,Adele calpesta i sogni della figlia ,6,5
8,Carlo calcia le critiche degli invidiosi ,6,6
8,L' architetto saltella da un' idea all' altra ,4,6
8,Lo studente zoppica verso l' esame di storia,6,4
8,Lisa corre verso l' amore con ingenuità,3,5
8,Il nonno cammina tra i ricordi d' infanzia,6,6
8,L' imprenditore segue l' istinto con decisione,5,6
8,Aldo fugge dagli obblighi del matrimonio,4,4
8,Marco percorre il destino del campione,5,6
8,Sofia attraversa le difficoltà con coraggio,6,7
8,Mario arriva alla decisione con fatica,4,5
8,Il paziente salta l' appuntamento con il dottore,3,2
8,Marta giunge alla conclusione del discorso,6,6
8,Il critico entra nella discussione con foga,6,6
8,Luigi avanza tra i problemi della vita,6,6
8,Giorgio passa dalla gioia alla disperazione ,6,6
8,L' uomo raggiunge la felicità per un istante,4,5
8,La vicina scende nei particolari della storia,6,6
8,Mara inciampa negli imprevisti della vita,5,6
8,Nino esce dall' ossessione delle scommesse,6,5
8,Lo psicologo perlustra l' animo del paziente,6,7
8,L' adolescente girovaga nei sogni di successo,5,6
8,L' operaio arranca verso la paga di fine-mese,6,4
8,Elena scivola sulla domanda di filosofia,6,5
8,Il padre sgattaiola dall' impegno dei figli,5,5
8,Luca scappa dalla realtà con la meditazione,4,6
8,L' artista pedala sull' ispirazione del momento,5,7
8,Il direttore pesta i diritti dei lavoratori,6,6
8,Franco scalcia i rimorsi di coscienza,5,5
8,La ragazza passeggia tra le pagine del diario,6,6
9,Alice disegna il suo futuro con Alberto,4,3
9,Laura ricama il discorso con tanti dettagli,2,6
9,Guido timbra il passaggio all' età adulta ,6,5
9,Gaia rammenda i rapporti con i genitori,5,4
9,Il giornalista accende l'interesse di Luca,4,5
9,Il professore apre la mente degli alunni,6,6
9,Il laureato chiude un capitolo della sua vita,6,5
9,Matilde getta la tristezza alle spalle,5,4
9,Il carabiniere monta gli indizi del delitto,5,6
9,La nonna attacca i ricordi nella memoria,5,4
9,Lo scienziato spacca il problema nei dettagli,5,6
9,Il cacciatore rompe la quiete del bosco,4,5
9,Monica butta le speranze nel dimenticatoio,4,4
9,Vittorio spezza la noia con un film,5,5
9,L'avvocato tocca il centro della questione,4,6
9,Il politico trita le idee degli avversari,5,5
9,Annalisa scava i segreti dell'animo ,4,6
9,Marcella colpisce il cuore del suo fidanzato,4,5
9,Antonio solleva il dolore del suo amico,5,6
9,Alessandro versa le energie nello studio,5,6
9,Il poliziotto strappa una confessione al ladro,5,6
9,Elisa spazza i problemi con decisione,4,6
9,Anna raccoglie le confidenze dell' amica,5,5
9,Sara sciacqua la coscienza con la beneficienza,3,7
9,Il giudice addita le colpe degli imputati,6,6
9,Il dirigente cuce nuovi rapporti di lavoro,5,5
9,Il giovane coglie l' opportunità con entusiasmo,6,6
9,L' inventore sfoglia le idee nella sua testa,4,6
9,Silvia afferra l' intuizione del collega,5,6
9,La madre costruisce la personalità del figlio,6,6
9,Adele calpesta i sogni della figlia ,4,4
9,Carlo calcia le critiche degli invidiosi ,5,5
9,L' architetto saltella da un' idea all' altra ,5,6
9,Lo studente zoppica verso l' esame di storia,3,4
9,Lisa corre verso l' amore con ingenuità,4,4
9,Il nonno cammina tra i ricordi d' infanzia,6,6
9,L' imprenditore segue l' istinto con decisione,6,6
9,Aldo fugge dagli obblighi del matrimonio,4,4
9,Marco percorre il destino del campione,5,6
9,Sofia attraversa le difficoltà con coraggio,5,6
9,Mario arriva alla decisione con fatica,4,5
9,Il paziente salta l' appuntamento con il dottore,4,3
9,Marta giunge alla conclusione del discorso,4,6
9,Il critico entra nella discussione con foga,5,6
9,Luigi avanza tra i problemi della vita,5,5
9,Giorgio passa dalla gioia alla disperazione ,5,6
9,L' uomo raggiunge la felicità per un istante,5,5
9,La vicina scende nei particolari della storia,4,5
9,Mara inciampa negli imprevisti della vita,4,5
9,Nino esce dall' ossessione delle scommesse,4,5
9,Lo psicologo perlustra l' animo del paziente,6,6
9,L' adolescente girovaga nei sogni di successo,5,6
9,L' operaio arranca verso la paga di fine-mese,3,4
9,Elena scivola sulla domanda di filosofia,3,5
9,Il padre sgattaiola dall' impegno dei figli,5,4
9,Luca scappa dalla realtà con la meditazione,4,5
9,L' artista pedala sull' ispirazione del momento,5,6
9,Il direttore pesta i diritti dei lavoratori,5,5
9,Franco scalcia i rimorsi di coscienza,4,5
9,La ragazza passeggia tra le pagine del diario,5,5
10,Alice disegna il suo futuro con Alberto,4,5
10,Laura ricama il discorso con tanti dettagli,2,7
10,Guido timbra il passaggio all' età adulta ,6,7
10,Gaia rammenda i rapporti con i genitori,3,6
10,Il giornalista accende l'interesse di Luca,5,6
10,Il professore apre la mente degli alunni,6,5
10,Il laureato chiude un capitolo della sua vita,5,6
10,Matilde getta la tristezza alle spalle,4,5
10,Il carabiniere monta gli indizi del delitto,6,7
10,La nonna attacca i ricordi nella memoria,5,6
10,Lo scienziato spacca il problema nei dettagli,5,7
10,Il cacciatore rompe la quiete del bosco,4,5
10,Monica butta le speranze nel dimenticatoio,5,4
10,Vittorio spezza la noia con un film,5,6
10,L'avvocato tocca il centro della questione,5,6
10,Il politico trita le idee degli avversari,6,6
10,Annalisa scava i segreti dell'animo ,3,6
10,Marcella colpisce il cuore del suo fidanzato,4,6
10,Antonio solleva il dolore del suo amico,5,7
10,Alessandro versa le energie nello studio,5,6
10,Il poliziotto strappa una confessione al ladro,6,7
10,Elisa spazza i problemi con decisione,4,6
10,Anna raccoglie le confidenze dell' amica,3,6
10,Sara sciacqua la coscienza con la beneficienza,1,5
10,Il giudice addita le colpe degli imputati,6,7
10,Il dirigente cuce nuovi rapporti di lavoro,4,5
10,Il giovane coglie l' opportunità con entusiasmo,6,7
10,L' inventore sfoglia le idee nella sua testa,5,7
10,Silvia afferra l' intuizione del collega,5,6
10,La madre costruisce la personalità del figlio,6,7
