annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,DIFFICULTY_synthetic
1,Per gli adolescenti amanti del rock certe canzoni sono droghe ipnotiche.,2.927654471,4.251302271,2.12791329
1,Per i bambini maltrattati le carezze sono balsami che curano il trauma.,2.954539621,4.678261426,1.794886955
1,Nell'ora del rientro dal lavoro le città sono giungle caotiche.,2.933613237,4.280197498,2.009300906
1,Nelle poesie dei poeti romantici le fanciulle sono rose delicate.,2.792008858,2.681992509,2.951399982
1,Quando si suda per la tensione le giacche sono forni di calore.,2.746465052,1.633624994,3.269743102
1,Nei bambini appena nati le guance sono pesche liscissime.,2.652102856,3.867191339,1.902784169
1,Alle sfilate di alta moda le indossatrici sono bambole di incantevole bellezza.,2.832076051,3.757104696,1.941141032
1,Con certi insegnanti dell'università le lezioni in classe sono sonniferi potentissimi.,2.988279303,4.070980771,2.154697913
1,Specialmente nei paesi del terzo mondo certe malattie sono cecchini senza pietà.,2.808567173,1.982292462,3.318007491
1,Per i distubi del sonno certe melodie sono camomille rilassanti.,2.824407543,3.09558914,2.432995196
1,Nelle situazioni di crisi economica certe notizie sono terremoti destabilizzanti.,2.92143092,4.45066766,2.08012989
1,Le tasche delle giacche dei nonni sono banche zeppe di monete.,2.885243976,4.302834749,1.830138555
1,Ai matrimoni tradizionali le torte sono montagne di panna e praline.,2.961690692,4.222521734,1.954546594
1,Specialmente nel genere femminile certe voci sono trombe squillanti e fastidiose.,2.894176057,2.991422556,1.82505215
1,Soprattutto nelle culture tradizionali i matrimoni sono querce dalle radici solide.,2.902753143,1.492965163,3.189017513
1,Per molti anziani i figli sono stampelle che sostengono nella vecchiaia.,2.933613212,3.821320371,2.141423632
1,Dopo un temporale le nuvole sono perle di infiniti riflessi.,2.678742583,4.239391217,2.262563725
1,Nelle scelte di vita i dubbi sono ombre che offuscano la via.,2.92143092,4.465608875,2.020353313
1,Nei momenti di sconforto i sogni sono ali per viaggiare lontano.,3.013188149,4.395535633,2.052075511
1,Negli indecisi le opinioni sono pendoli che vanno di qua e di là.,2.918684012,4.152824453,2.059542751
1,Quando si toccano argomenti delicati le parole sono pietre che pesano sull'animo.,3.397917595,4.494295457,2.15752302
1,Nelle persone creative le menti sono vulcani di idee e progetti.,2.910933237,4.257502932,1.922761759
1,Al giorno d'oggi i passatempi sono oasi dal lavoro e dalla frenesia del quotidiano.,2.85761835,4.462071149,1.898667209
1,Specialmente nella adolescenza le passioni sono venti passeggeri e instabili.,2.933613184,3.73898486,2.356003716
1,In un percorso di miglioramento spirituale le virtù sono muscoli da potenziare.,2.808567216,4.239391225,2.205113045
1,Anche dopo molti anni i rimproveri dei genitori sono tatuaggi nella memoria.,2.817862009,4.496074661,2.155879292
1,Per gli animi sensibili le poesie sono sorrisi per il cuore.,2.868953469,4.70397693,1.537142494
1,I malati di artrosi dicono che le fitte sono coltelli nella carne.,3.420848034,4.37571913,2.098059442
1,Specialmente in filosofia certe teorie sono palazzi dalle fragili fondamenta.,3.363498935,4.396911641,1.881988643
1,Specialmente in America certe università sono portaerei che trasportano talenti.,2.958197643,4.282217829,1.973348273
1,Tutti sanno che le amicizie sono alberi che crescono con il tempo.,2.757105663,2.948897501,2.559844881
1,Se non curati con farmaci specifici certi malditesta sono trapani continui.,2.531656542,1.338542451,3.070583038
1,Nei paesi in via di sviluppo le economie sono bombe ad orologeria.,2.845719227,1.918346453,3.950812726
1,Nella memoria dei popoli le stragi sono cicatrici indelebili.,2.845719233,4.817574472,1.599845988
1,In certi momenti gli occhi sono oceani di profondità infinita.,2.808567173,4.182552311,2.442941499
1,Se negative certe amicizie sono virus che infettano il carattere dei giovani.,3.485392256,3.544844214,2.446810326
1,Nelle patologie psichiatriche le ossessioni sono gabbie che imprigionano.,2.987155097,3.896795067,2.424948082
1,Per alcune persone certi profumi sono chiavi per la porta della memoria.,3.420848002,4.494963508,1.887902024
1,Spesso nella vita le delusioni sono zavorre molto pesanti.,2.74867364,4.336230125,1.750023989
1,Nel mondo dello spettacolo certe conoscenze sono ascensori per il successo.,2.879797064,4.452773945,1.860846657
1,Per i soggetti depressi le crisi sono tunnel senza fine.,2.817862016,4.330807071,2.105472412
1,Nella vita le paure sono nodi che impediscono di andare avanti.,3.485392275,4.65048974,1.575123992
1,Nei momenti difficili le speranze sono stelle che illuminano l'anima.,2.921430923,4.75467713,1.604464367
1,Nelle società multietniche le lingue sono ponti tra le persone.,2.832076051,4.678464239,1.504446443
1,Nel caso di alcuni autori certi romanzi sono mappe che aiutano ad orientarsi nella vita.,2.894176057,4.232586714,2.301424476
1,Specialmente nelle relazioni sentimentali i torti sono crepe nell'anima.,2.808567194,3.472627612,2.498616124
