FA_LIT_ID;Met_structure;Metaphor;Translation (Eng);Source;Author;Type_of_text;Original_context;Length_context;Order_type;W1;Length_W1;Frequency_W1MetaLit;Concreteness_W1MetaLit;W2;Length_W2 ;Frequency_W2MetaLit;Concreteness_W2MetaLit;SemanticDistanceMetaLit;Bambini et al. (2014)
FA_LIT142;Genitive;vene di melodia;veins of melody;Momenti: Liriche;Aleramo, Sibilla;POEM;"In quest'alba,
    ricche le vene di melodia e dolenti,
    che tutti aduno e mesco i desideri eterni";24;VT;vene;4;32;4,350610051;melodia;7;21;3,285980699;0,785323843;N
FA_LIT143;Genitive;eco di luce;echo of light;Momenti: Liriche;Aleramo, Sibilla;POEM;"Fragranza lenta
    e guizzi in stanza
    a sera,
    pace del fuoco,
    eco di luce,
    la pigna in brace,
    tutte le foreste lungi";40;VT;eco;3;54;3,454316029;luce;4;585;3,436777643;0,66627866;N
FA_LIT144;Genitive;frammento di natura;fragment of nature;Momenti: Liriche;Aleramo, Sibilla;POEM;"Nuda nel sole ed immobile,
    frammento di natura,
    ti miro orante ed oprante";19;VT;frammento;9;23;3,799455293;natura;6;520;2,275110123;0,764127687;N
FA_LIT145;Genitive;recinto di dolore;fence of pain;Una Donna;Aleramo, Sibilla;PROSE;"Ero uscita dal recinto di dolore con un tremito interno, senza poter
piangere nè parlare, sentendo una sofferenza fisica che mi prostrava
e rivoltava insieme";23;VT;recinto;7;14;4,08069898;dolore;6;296;3,287649565;0,81731163;N
FA_LIT146;Genitive;nebbia di menzogne;fog of lies;Danza macabra;Antona-Traversi, Camillo;PROSE;"Io, in questa nebbia di menzogne e di vigliaccherie, ho perduto ogni
energia";12;VT;nebbia;6;77;3,958623336;menzogne;8;17;2,789828906;0,743818074;N
FA_LIT147;Genitive;cervello di ghiaccio;brain of ice;Nanà  a Milano;Arrighi, Cletto;PROSE;"dinanzi a lei si trovava di aver il cuore di
coniglio, il cervello di ghiaccio e la lingua mozza";18;TV;cervello;8;163;3,689816708;ghiaccio;8;80;4,121959495;0,708150327;N
FA_LIT148;Genitive;padiglioni di fuoco;pavilions of fire;"La Principessa Belgiojoso
 Da memorie mondane inedite o rare e da archivii segreti di Stato";Barbiera, Raffaello;PROSE;"Solo, in alcune sere, sulle silenziose
praterie, s'inarcano immensi padiglioni di fuoco";12;TV;padiglioni;10;7;3,977109274;fuoco;5;559;4,179325065;0,939007413;N
FA_LIT149;Genitive;meteora di sangue;meteor of blood;Carlo Porta e la sua Milano;Barbiera, Raffaello;PROSE;"Arrivato alla sommità, si lasciò cogliere dalle
vertigini, passò d'errore in errore, di delitto in delitto verso
la creatura umana calpestata per il proprio trionfo, e precipitò
nell'abisso, morendo, meteora di sangue, in un'isola, fra le malinconie
dell'oceano.";38;VT;meteora;7;5;3,57799121;sangue;6;473;4,181390123;0,928215586;N
FA_LIT150;Genitive;profumo di gentilezza;scent of kindness;Carlo Porta e la sua Milano;Barbiera, Raffaello;PROSE;"Il dialetto, che par creato allo sdegnoso comando,
emana un profumo di gentilezza che avvolge il dolore.";16;VT;profumo;7;117;3,979465447;gentilezza;10;25;2,687507366;0,753585383;N
FA_LIT151;Genitive;sapore di comicità;flavor of comedy;Carlo Porta e la sua Milano;Barbiera, Raffaello;PROSE;"Gli episodi della funebre funzione, fra' quali la comparsa d'un soldato
francese, che suscita col solo suo aspetto i livori, la bile degli
officianti, nemici naturali di coloro che li perseguitavano, dànno
forte sapore di comicità al componimento, il cui fondo è serio e
lugubre";43;VT;sapore;6;91;3,031944408;comicità;8;33;2,600632915;0,768859416;N
FA_LIT152;Genitive;pioggia di rottami;rain of scrap;I rossi e i neri;Barrilli, Anton Giulio;PROSE;"Per alcuni istanti una enorme nuvola ondeggiò sull'oceano, poi una
pioggia di rottami incandescenti piombò sulle onde sibilando, e
la carcassa del veliero, sventrata, invasa dalle acque irrompenti
attraverso alle squarciature, scomparve nei profondi baratri del mare
di Sulu";36;VT;pioggia;7;149;4,375526037;rottami;7;7;4,427649077;0,847209826;N
FA_LIT153;Genitive;carnagione di latte;complexion of milk;I rossi e i neri;Barrilli, Anton Giulio;PROSE;"Maddalena Torralba, la soave Maddalena,
dai grand'occhi azzurrognoli, dalla carnagione di latte";13;TV;carnagione;10;10;4,172426109;latte;5;152;4,823947891;0,775681376;N
FA_LIT154;Genitive;profumo di modestia;scent of modesty;Arrigo il savio;Barrilli, Anton Giulio;PROSE;"c'è, infine, il buono e compiacente giovanotto, che ambisce gli uffici del
servitore, non aspettando altra ricompensa che il titolo d'amico, e
lascia intorno a sè un profumo di modestia, che può farlo ricercare, in
un momento di poetica tenerezza, come si ricerca all'odore la violetta
de' campi";48;VT;profumo;7;117;3,979465447;modestia;8;21;2,098570508;0,801941589;N
FA_LIT155;Genitive;ombra di dolore;shadow of sorrow;La montanara;Barrilli, Anton Giulio;PROSE;"È un'ombra di dolore, lo so; ma dovete cacciarla egualmente, come se fosse un'ombra di peccato";18;VT;ombra;5;184;2,844800875;dolore;6;296;3,287649565;0,770667255;N
FA_LIT156;Genitive;incendio di orgoglio;fire of pride;Il ponte del paradiso: racconto;Barrilli, Anton Giulio;PROSE;"era stato un incendio di orgoglio offeso, di collera feroce,
all’udire che un certo matrimonio era imminente";16;VT;incendio;8;64;3,986425212;orgoglio;8;109;2,595594136;0,813573986;N
FA_LIT157;Genitive;ombra di peccato;shadow of sin;La montanara;Barrilli, Anton Giulio;PROSE;"È un'ombra di dolore, lo so; ma dovete cacciarla egualmente, come se fosse un'ombra di peccato";18;VT;ombra;5;184;2,844800875;peccato;7;149;2,742734553;0,757090047;N
FA_LIT158;Genitive;pioggia di ricchezze;rain of riches;L'Argentina vista come è;Barzini, Luigi;PROSE;"Un'infinità di famiglie va avanti
impegolandosi sempre più nei debiti in attesa della _volada_--un colpo
di fortuna--o di una nuova pioggia di ricchezze";22;VT;pioggia;7;149;4,375526037;ricchezze;9;26;3,024618371;0,819492102;N
FA_LIT159;Genitive;nebbia di noia;fog of boredom;L'Argentina vista come è;Barzini, Luigi;PROSE;"Non tutti i fannulloni sono di questa ideale perfezione, ma anche
i fannulloni volgari sono insopportabili e spandono intorno a sè
una nebbia di noia, che smorza ogni fuoco d'entusiasmo, che
appanna ogni luce di poesia";34;VT;nebbia;6;77;3,958623336;noia;4;54;2,824757944;0,613601208;N
FA_LIT160;Genitive;bufera di cannonate;blizzard of gunfire;Al fronte (maggio-ottobre 1915);Barzini, Luigi;PROSE;"Era una bufera di cannonate; gli _shrapnells_ arrivavano a raffiche
continue, volteggiavano in aria foglie e rami d'albero stroncati dalle
esplosioni, il piombo grandinava.";23;VT;bufera;6;32;4,038273135;cannonate;9;6;4,244992393;0,783564344;N
FA_LIT161;Genitive;bufera di esplosioni;blizzard of explosions;Al fronte (maggio-ottobre 1915);Barzini, Luigi;PROSE;"Una mattina uno
dei nostri generali doveva far cominciare un bombardamento di calibri
pesanti per aprire il varco nel reticolato di un trinceramento che ci
era di fronte; ma proprio sotto a quel reticolato che stava per essere
sconvolto da una bufera di esplosioni, giaceva un ferito nostro.";44;VT;bufera;6;32;4,038273135;esplosioni;10;10;3,672370892;0,748244166;N
FA_LIT162;Genitive;bufera di fuoco;blizzard of fire;Al fronte (maggio-ottobre 1915);Barzini, Luigi;PROSE;"Le batterie nemiche da cui veniva quella bufera di fuoco dovevano
trovarsi in parte sulle pendici del monte Kuk, uno dei tanti monti
Kuk della regione, distante tre chilometri e mezzo da Plava, in parte
sul Monte Santo, dal quale i medî calibri tempestavano.";41;VT;bufera;6;32;4,038273135;fuoco;5;559;4,179325065;0,736560941;N
FA_LIT163;Genitive;bufera di piombo;blizzard of lead;Al fronte (maggio-ottobre 1915);Barzini, Luigi;PROSE;"L'assalto era arrivato a meno di
trecento metri.

Una scrosciante bufera di piombo rasentò i declivî.";15;VT;bufera;6;32;4,038273135;piombo;6;65;4,616496743;0,837362394;N
FA_LIT164;Genitive;nuvole di polvere;clouds of dust;Al fronte (maggio-ottobre 1915);Barzini, Luigi;PROSE;"Lunghe nuvole di polvere sorgevano basse, a strisce, mettendo qua e
là dei veli sulle piantagioni, avvolgendo villaggi, dissipandosi per
risorgere più vicino";21;VT;nuvole;6;54;4,284104231;polvere;7;125;4,428558081;0,560494989;N
FA_LIT165;Genitive;torrenti di melodia;torrents of melody;Pietro Mascagni, con nota delle opere e ritratto;Bastianelli, Giannotto;PROSE;"La vena lirica del
Mascagni si riapre, versa torrenti di melodia";10;VT;torrenti;8;6;4,218789332;melodia;7;21;3,285980699;0,803316921;N
FA_LIT166;Genitive;lampo di poesia;flash of poetry;Storia di un'anima;Bazzero, Ambrogio;PROSE;"con stringicore ci sovveniamo di
qualcosa, di qualcuno, di qualcuna: è un lampo di poesia, la chiusa, la
consacrazione della giornata";19;VT;lampo;5;45;3,799095307;poesia;6;105;2,934227133;0,769643188;N
FA_LIT167;Genitive;deserto di luce;desert of light;Storia di un'anima;Bazzero, Ambrogio;PROSE;"Ma là non c'è la linea, il confine, la nostra
imbecillità; là regna un deserto di luce, un'amplissima curva che si
perde in un'altra curva, che finisce alla terra";30;TV;deserto;7;106;3,802585711;luce;4;585;3,436777643;0,8063315;N
FA_LIT168;Genitive;fiocco di nube;flake of cloud;Storia di un'anima;Bazzero, Ambrogio;PROSE;"Il cielo è del più intenso azzurro,
profondo senza un fiocco di nube";12;VT;fiocco;6;11;4,604440648;nube;4;9;4,04664355;0,746947646;N
FA_LIT169;Genitive;profumo di sentimento;scent of feeling;Tre racconti: Il cane del cieco - Un genio sconosciuto - Galatea;Bersezio, Vittorio;PROSE;"Benchè la sua voce non fosse punto
commossa, pure c'era un non so che, leggiero, leggiero, ma
apprensibile, un'aura direi, un profumo di sentimento che Anna ne fu
tocca";29;VT;profumo;7;117;3,979465447;sentimento;10;118;1,977560106;0,572893381;N
FA_LIT170;Genitive;fiamma di carità;flame of charity;La donna nella vita e nelle opere di Giacomo Leopardi;Boghen Conigliani, Emma;PROSE;"da la bellissima bionda
Ranieri, che non s'accorge de le passioni che desta, del mondo che le
sorride ed ha ne gli occhi miti e profondi tutta la fiamma di carità
che la esalta";32;VT;fiamma;6;60;4,01279983;carità;6;39;3,02883732;0,761154339;N
FA_LIT171;Genitive;pioggia di fiori;rain of flowers;La donna nella vita e nelle opere di Giacomo Leopardi;Boghen Conigliani, Emma;PROSE;"come la Laura petrarchesca
sotto la pioggia di fiori cadente da l'albero";12;VT;pioggia;7;149;4,375526037;fiori;5;1;4,523380805;0,705031902;N
FA_LIT172;Genitive;tempesta di dolore;storm of sorrow;La donna nella vita e nelle opere di Giacomo Leopardi;Boghen Conigliani, Emma;PROSE;"il poeta è sconvolto
piuttosto da una tempesta di dolore che d'amore";12;VT;tempesta;8;68;3,902792077;dolore;6;296;3,287649565;0,723810852;N
FA_LIT173;Genitive;semi di re;seeds of kings;Novelle e riviste drammatiche;Boito, Arrigo;PROSE;"Bimbi
leggiadri ed augusti, siete fiorellini di re, siete semi di re";11;VT;semi;4;41;3,645447481;re;2;377;3,344352225;1,00368869;N
FA_LIT174;Genitive;corona di ghiacciai;crown of glaciers;Dallo Stelvio al mare;Bontempelli, Massimo;PROSE;"Tutta una corona di
ghiacciai protegge ivi il confine";8;VT;corona;6;57;3,974287619;ghiacciai;9;10;3,990077825;0,835370675;N
FA_LIT175;Genitive;corona di fuoco;crown of fire;Dallo Stelvio al mare;Bontempelli, Massimo;PROSE;"anno gareggiato coi muli nel ripire i sentieri
infernali appena scavati tra le rocce, per trascinar su rifornimenti,
salmerie d'ogni genere, e soprattutto i gravi pezzi d'artiglieria che
vanno disegnando un'inquieta corona di fuoco lungo il confine sempre
più avanzato della patria";41;VT;corona;6;57;3,974287619;fuoco;5;559;4,179325065;0,832714021;N
FA_LIT176;Genitive;inferno di fumo;hell of smoke;Dallo Stelvio al mare;Bontempelli, Massimo;PROSE;"Un inferno di fumo, di scoppi, di rombi; nugoli spessi spaccati da
lame di fiamma e squarciati di grida";18;VT;inferno;7;113;3,655228646;fumo;4;109;3,846298391;0,713962525;N
FA_LIT177;Genitive;mare di cristallo;sea of crystal;Margherita Pusterla: Racconto storico;Cantù, Cesare;PROSE;"Ma calmo affatto era il cielo, e se
non fosse stato l'argenteo solco che la chiglia lasciavasi dietro,
sarebbesi potuto credere il legno fermo in un mare di cristallo";28;VT;mare;4;585;4,006714985;cristallo;9;33;3,965281938;0,687562406;N
FA_LIT178;Genitive;nebbia di sdegni;mist of disdain;Storia degli Italiani, vol. 7 (di 15);Cantù, Cesare;PROSE;"tale
la _gloriosa colonna_ a cui s’appoggia nostra speranza, e il vento
angoscioso de’ sospiri, e il fuoco de’ martiri, e le chiavi amorose, e
il lauro a cui coltivare adopera _vomer di penna con sospir di fuoco;_
e la nebbia di sdegni che _rallenta le stanche sarte della nave sua";47;VT;nebbia;6;77;3,958623336;sdegni;6;1;;0,811466232;N
FA_LIT179;Genitive;cuore di ghiaccio;heart of ice;Rassegnazione: Romanzo;Capuana, Luigi;PROSE;"Con lei il piacere
supremo doveva consistere nel far vibrare quei nervi ben difesi dalla
bianca opulenza delle carni, nel riuscire ad infondere almeno un tepore
di sentimento in quel cuore di ghiaccio";31;TV;cuore;5;630;3,874763696;ghiaccio;8;80;4,121959495;0,645251989;N
FA_LIT180;Genitive;lampo di sdegno;flash of disdain;Il Benefattore;Capuana, Luigi;PROSE;"A quelle parole che finalmente svelavano il pensiero del gesuita, un
lampo di sdegno illuminò il volto della marchesa di Priamar";20;VT;lampo;5;45;3,799095307;sdegno;6;31;2,851917918;0,814817414;N
FA_LIT181;Genitive;pensieri di fumo;thoughts of smoke;Angiola Maria: Storia domestica;Carcano, Giulio;PROSE;"Agitato da continui
pensieri di fumo e d'ambizione, travagliato da mala vicenda nella sua
domestica economia, egli era quasi sempre meditabondo, accigliato,
dispettoso";21;TV;pensieri;8;122;3,058672441;fumo;4;109;3,846298391;0,76530835;N
FA_LIT182;Genitive;cuore di sasso;heart of stone;Racconti e bozzetti;Castelnuovo, Enrico;PROSE;"— Ma ella ha dunque un cuore di sasso? — proruppe Vittorio accendendosi
in volto.";14;TV;cuore;5;630;3,874763696;sasso;5;28;4,481996979;0,657882124;N
FA_LIT183;Genitive;manto di luce;mantle of light;Racconti e bozzetti;Castelnuovo, Enrico;PROSE;"Il sole era tramontato, lasciando parte del suo manto di luce a
certe nubi rossastre che si disegnavano nelle più pittoresche fogge
del mondo sugli ultimi lembi dell'orizzonte";27;VT;manto;5;21;4,389360202;luce;4;585;3,436777643;0,684048653;N
FA_LIT184;Genitive;fantasmi di dolore;ghosts of pain;Il Miraggio: Romanzo;D'Ambra Lucio;PROSE;"I cattivi sogni marciavano in nero drappello verso di lui, così che,
quando più tardi egli si destò al fracasso dello sportello spalancato
alla stazione di Orvieto, un incubo doloroso lo opprimeva, con tanti
fantasmi di dolore e di tristezza";37;VT;fantasmi;8;55;3,475055729;dolore;6;296;3,287649565;0,695204288;N
FA_LIT185;Genitive;impronte di dolore;footprints of pain;Il Miraggio: Romanzo;D'Ambra Lucio;PROSE;"presenza ch'era di già sufficiente a che
l'onda del suo memore, vagabondo e tormentoso pensiero non dilagasse,
portando intorno funeste vestigie di tristezza e di rimpianto,
incancellabili impronte di dolore e di pentimento";32;VT;impronte;8;30;4,149213182;dolore;6;296;3,287649565;0,804613322;N
FA_LIT186;Genitive;pioggia di rubini;rain of rubies;Il Miraggio: Romanzo;D'Ambra, Lucio;PROSE;"Claudina, poggiata al davanzale della finestra, guardava il mare
che s'andava tingendo di rosa al riflesso del cielo, che sempre più
rosseggiava per la magnifica pioggia di rubini del tramonto";29;VT;pioggia;7;149;4,375526037;rubini;6;3;4,295270647;0,859954819;N
FA_LIT187;Genitive;sigillo di sangue;seal of blood;Il Miraggio: Romanzo;D'Ambra, Lucio;PROSE;"ma parlò per colei che ascoltava dietro la
portiera, per colei che doveva trarre da quelle sue parole l'ultima
prova di sincerità e di pentimento, per colei che doveva considerarle
come un sigillo di sangue posto sul passato doloroso e colpevole";39;TV;sigillo;7;8;3,793550502;sangue;6;473;4,181390123;0,70144251;N
FA_LIT188;Genitive;cielo di farina;sky of flour;Il trampolino per le stelle: Tre dialoghi e due racconti;D'Ambra, Lucio;PROSE;Fuori nevica da un cielo di farina;7;TV;cielo;5;287;4,24490247;farina;6;51;4,499686062;0,84822467;N
FA_LIT189;Genitive;nebbia di sogno;mist of dream;Il trampolino per le stelle: Tre dialoghi e due racconti;D'Ambra, Lucio;PROSE;"Rieccomi a te, Duchessa, luce rossa, nebbia rosea, nebbia di sogno,
sempre uguale, così al tramonto come all'aurora";18;VT;nebbia;6;77;3,958623336;sogno;5;377;3,246014585;0,798412204;N
FA_LIT190;Genitive;petto di fuoco;chest of fire;Il trampolino per le stelle: Tre dialoghi e due racconti;D'Ambra, Lucio;PROSE;"Ora un colpo di tosse, atroce, gli spezza il petto di fuoco. E,
ricadendo sui cuscini, il malato geme";18;TV;petto;5;99;4,978550864;fuoco;5;559;4,179325065;0,633142859;N
FA_LIT191;Genitive;baci di fuoco;kisses of fire;L'innocente;D'Annunzio, Gabriele;PROSE;"Tremante il viso non asconderai;
    Nell'onda lor come da notte avvolti
    Baci di fuoco troverem giammai";23;TV;baci;4;49;4,477248054;fuoco;5;559;4,179325065;0,832146361;N
FA_LIT192;Genitive;profumo di poesia;scent of poetry;Le vergini delle rocce;D'Annunzio, Gabriele;PROSE;"Delizioso!... ma questo è un Eden.... un paradiso! esclama
enfaticamente la signora--qual profumo di poesia";14;VT;profumo;7;117;3,979465447;poesia;6;105;2,934227133;0,682581514;N
FA_LIT193;Genitive;indigestione di gelosia;indigestion of jealousy;Le vergini delle rocce;D'Annunzio, Gabriele;PROSE;"NINO (_colla voce grossa per un'indigestione di gelosia_) =Io= le
pianto e me ne vado";15;VT;indigestione;12;5;;gelosia;7;58;3,251782434;0,708098412;N
FA_LIT194;Genitive;ribellioni di orgoglio;rebellions of pride;Le Novelle della Pescara;D'Annunzio, Gabriele;PROSE;"Tutti i villici ruppero l'ordine, e attorniarono La Bravetta; alcuni
con risa di beffa, altri con parole irose. Le ribellioni di orgoglio
subitanee e brutali che ha l'onore della gente campestre, le severità
implacabili della superstizione scoppiarono d'improvviso in una
tempesta di contumelie";42;VT;ribellioni;10;6;2,907688514;orgoglio;8;109;2,595594136;0,81363833;N
FA_LIT195;Genitive;fuoco di sincerità;fire of sincerity;Le Novelle della Pescara;D'Annunzio, Gabriele;PROSE;"Lo fece senza grazia, con parole e con gesti impacciati, ma con un tale
fuoco di sincerità negli occhi e tale tremore d'emozione nella voce
che Anna-Maria, la quale si scalzava lentamente i guanti a capo chino
mentre egli parlava, alzò d'improvviso il capo e si pose ad osservarlo
con una attenzione fra pietosa e meravigliata";54;VT;fuoco;5;559;4,179325065;sincerità;9;28;1,956801072;0,877177395;N
