annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,BODY_RELATEDNESS_synthetic
1,Quella firma è un geroglifico,5,4,2
1,Quegli abiti sono petali,5,4,2
1,Quel mare è uno smeraldo,5,6,2
1,Quella piscina è un brodo,3,2,1
1,Quel pannolino è una diga,3,4,6
1,Quell'aspirapolvere è un'astronave,5,2,1
1,Quel bar è un cimitero,5,6,4
2,Quell'alito è una fogna,5,6,7
2,Quell'uragano è un carrarmato,5,2,1
2,Quella borsa è un macigno,5,6,6
2,Quella città è una giungla,3,6,4
2,Quelle guance sono pesche,5,6,6
2,Quel bacio è un peperoncino,5,4,6
2,Quella bocca è una fragola,3,2,1
2,Quella locomotiva è un drago,3,2,1
2,Quella ruga è un burrone,3,4,6
2,Quel vestito è una tenda,5,4,6
2,Quel lago è un cristallo,5,4,2
2,Quel sorriso è una stella,5,4,2
2,Quella pelle è una porcellana,3,2,2
2,Quel prato è un velluto,5,6,4
2,Quel mento è un precipizio,5,4,6
2,Quel viso è una seta,5,2,2
2,Quella nebbia è un muro,5,4,3
2,Quell'orecchio è una padella,3,2,1
2,Quella mano è una grattugia,3,4,6
2,Quel naso è un uncino,5,6,7
2,Quei denti sono una ghigliottina,5,6,7
2,Quelle palpebre sono serrande,5,6,6
2,Quelle ciglia sono un ventaglio,5,4,6
2,Quei piedi sono zattere,3,4,6
2,Quella pancia è una mongolfiera,5,6,6
2,Quella barba è un batuffolo,5,4,6
2,Quegli zigomi sono montagne,5,6,7
2,Quelle gambe sono trampoli,5,4,6
2,Quella caviglia è un pallone,5,4,6
2,Quel braccio è una sbarra,5,6,7
2,Quei capelli sono spaghetti,5,4,6
2,Quella fronte è una pianura,5,2,4
2,Quegli addominali sono marmo,5,6,7
2,Quelle labbra sono un canotto,5,2,1
2,Quei bicipiti sono sassi,5,4,6
2,Quelle unghie sono ruspe,5,4,6
2,Quelle dita sono tentacoli,5,4,6
2,Quei peli sono aghi,5,6,7
2,Quel brufolo è un vulcano,5,4,6
2,Quel neo è una mora,5,4,6
2,Quell'autostrada è un serpente,3,4,2
2,Quella fabbrica è un alveare,3,4,2
2,Quella luna è un palloncino,3,2,1
2,Quella sigaretta è un proiettile,5,4,2
2,Quella stanza è una discarica,5,6,2
2,Quel computer è una tartaruga,3,4,2
2,Quel libro è una lanterna,5,2,1
2,Quell'automobile è un missile,5,6,2
2,Quel cavo è un gomitolo,5,4,6
2,Quel cappello è un fungo,5,4,2
2,Quella grondaia è uno scolapasta,3,4,6
2,Quella casa è un gioiello,5,6,2
2,Quell'ospedale è un labirinto,3,4,6
2,Quel diario è una miniera,3,4,1
2,Quell'aiuola è un arcobaleno,3,2,1
2,Quel sonaglio è una camomilla,3,2,1
2,Quella nuvola è una perla,3,2,1
2,Quella firma è un geroglifico,5,4,2
2,Quegli abiti sono petali,3,2,2
2,Quel mare è uno smeraldo,5,6,2
2,Quella piscina è un brodo,3,2,1
2,Quel pannolino è una diga,3,4,6
2,Quell'aspirapolvere è un'astronave,3,2,1
2,Quel bar è un cimitero,5,6,4
3,Quell'alito è una fogna,5,6,7
3,Quell'uragano è un carrarmato,5,2,1
3,Quella borsa è un macigno,3,6,6
3,Quella città è una giungla,3,6,4
3,Quelle guance sono pesche,5,6,6
3,Quel bacio è un peperoncino,5,6,4
3,Quella bocca è una fragola,3,2,1
3,Quella locomotiva è un drago,3,2,1
3,Quella ruga è un burrone,3,4,6
3,Quel vestito è una tenda,5,4,6
3,Quel lago è un cristallo,5,4,2
3,Quel sorriso è una stella,3,2,1
3,Quella pelle è una porcellana,3,2,2
3,Quel prato è un velluto,5,6,2
3,Quel mento è un precipizio,5,4,6
3,Quel viso è una seta,3,2,1
3,Quella nebbia è un muro,5,4,3
3,Quell'orecchio è una padella,3,2,1
3,Quella mano è una grattugia,3,4,6
3,Quel naso è un uncino,5,6,7
3,Quei denti sono una ghigliottina,3,6,7
3,Quelle palpebre sono serrande,5,6,7
3,Quelle ciglia sono un ventaglio,5,4,6
3,Quei piedi sono zattere,5,6,7
3,Quella pancia è una mongolfiera,5,6,6
3,Quella barba è un batuffolo,3,4,6
3,Quegli zigomi sono montagne,5,6,6
3,Quelle gambe sono trampoli,5,4,6
3,Quella caviglia è un pallone,5,4,6
3,Quel braccio è una sbarra,5,6,6
3,Quei capelli sono spaghetti,5,4,6
3,Quella fronte è una pianura,5,4,6
3,Quegli addominali sono marmo,5,6,7
3,Quelle labbra sono un canotto,3,2,4
3,Quei bicipiti sono sassi,5,4,6
3,Quelle unghie sono ruspe,5,4,6
3,Quelle dita sono tentacoli,5,6,6
3,Quei peli sono aghi,5,4,6
3,Quel brufolo è un vulcano,5,4,6
3,Quel neo è una mora,5,4,6
3,Quell'autostrada è un serpente,5,6,4
3,Quella fabbrica è un alveare,3,4,2
3,Quella luna è un palloncino,3,2,1
3,Quella sigaretta è un proiettile,5,4,2
3,Quella stanza è una discarica,5,6,4
3,Quel computer è una tartaruga,3,4,2
3,Quel libro è una lanterna,3,2,1
3,Quell'automobile è un missile,4,6,1
3,Quel cavo è un gomitolo,5,4,6
3,Quel cappello è un fungo,3,4,2
3,Quella grondaia è uno scolapasta,3,4,6
3,Quella casa è un gioiello,3,6,2
3,Quell'ospedale è un labirinto,3,4,4
3,Quel diario è una miniera,3,4,2
3,Quell'aiuola è un arcobaleno,3,2,1
3,Quel sonaglio è una camomilla,3,2,1
3,Quella nuvola è una perla,3,2,1
3,Quella firma è un geroglifico,5,4,2
3,Quegli abiti sono petali,5,3,2
3,Quel mare è uno smeraldo,5,6,2
3,Quella piscina è un brodo,3,2,1
3,Quel pannolino è una diga,3,4,6
3,Quell'aspirapolvere è un'astronave,5,2,1
3,Quel bar è un cimitero,5,6,4
4,Quell'alito è una fogna,3,6,7
4,Quell'uragano è un carrarmato,5,2,1
4,Quella borsa è un macigno,5,6,7
4,Quella città è una giungla,3,6,4
4,Quelle guance sono pesche,5,6,6
4,Quel bacio è un peperoncino,5,6,4
4,Quella bocca è una fragola,3,2,1
4,Quella locomotiva è un drago,3,2,1
4,Quella ruga è un burrone,3,4,6
4,Quel vestito è una tenda,5,4,6
