FAMILIARITY_synthetic,DIFFICULTY_synthetic,MEANINGFULNESS_synthetic,BODY_RELATEDNESS_synthetic,PHISICALITY_synthetic,IMAGEABILITY_synthetic
3.999966404,1.999987008,4.880797063,6.009485918,1.540965847,1.00012418
2.009668865,3.850107263,2.998754044,6.880637868,2.347486628,1.043108202
3.999658848,1.999925195,4.817574318,5.669546132,3.995779702,2.55784888
2.000634824,3.981994073,3.000313905,5.998702244,4.016259255,5.43346933
2.053538484,3.669369398,3.268955948,6.999954558,5.978519883,5.020505915
3.086486973,2.018055025,4.186927117,6.537826558,3.501383892,2.009819049
3.970544594,1.999992296,4.095346935,6.99966423,2.003661492,1.000096159
1.926600683,3.995914179,2.438157264,6.999085846,3.677186548,2.003155981
2.89289761,3.949781768,2.972612956,6.0,3.064536191,2.013310363
4.000057349,1.99997247,4.999796573,6.007371471,3.816380328,2.074188861
1.005335796,4.001768299,2.000008759,5.999668327,3.879530159,2.013536708
1.000212994,4.022955936,1.999998132,6.904550088,5.99981294,6.622024434
3.809809957,2.000057787,4.075851264,1.000045425,1.71778219,1.107345757
3.999942919,1.999941714,4.320821212,1.022977649,5.998159025,5.767413313
2.546413953,3.178160604,3.999079392,1.00003538,,
4.000001359,1.99883049,4.62245933,1.222706744,,
4.000910658,1.991422515,4.777299861,1.000000187,,
3.999994105,1.9999039,4.02297735,1.000001072,,
3.998787675,1.999941853,4.075818344,1.000000832,,
2.001338835,3.851080566,3.562254185,1.000000145,,
1.994513197,3.97619096,2.985976427,2.647072501,,
2.012568722,3.991410383,3.00304929,1.001942467,,
1.004140419,4.000349352,2.017986364,1.000433297,,
2.004427004,3.995925897,3.000477932,1.000000186,,
3.950024398,2.000036846,4.962587341,1.000203564,,
2.050336166,3.976629688,4.010116895,1.000000032,,
3.999954716,1.99998989,4.989013058,1.000000069,,
1.952682782,3.999447666,3.00190529,1.000000729,,
2.062219227,3.55248092,3.003106631,1.000000836,,
2.004993219,3.829717248,2.881342028,1.000045687,,
1.002143899,4.013633153,2.000014441,1.000021528,,
3.9998003,1.99998989,4.982013788,1.000002299,,
2.003692581,3.951773287,3.092898751,1.000003009,,
1.999926375,3.991415158,3.000186726,1.000558579,,
1.182727824,4.0,2.000708937,1.00000002,,
1.977575125,3.993237145,2.50007208,1.000000191,,
1.989565774,3.998495717,2.978191555,,,
4.000624859,1.999978741,4.119201198,,,
3.842628217,2.000027031,4.562173952,,,
2.0,3.981773616,2.997788565,,,
2.044205062,3.846944672,3.006647455,,,
1.377637735,3.998148112,2.500001165,,,
3.988798841,1.999964685,4.060083376,,,
3.999844125,1.999994,4.222696125,,,
1.98912194,3.999664395,2.998504962,,,
1.956635892,3.976836998,2.119208364,,,
4.000085972,1.998073268,4.32082126,,,
4.001925667,1.985936375,4.970687766,,,
3.999994777,1.999447263,4.56217611,,,
3.983503017,2.000058145,4.982012674,,,
3.958000874,1.437834922,2.386866982,,,
1.438025955,3.999033916,2.001927154,,,
3.999799862,1.996827329,4.008567356,,,
1.989109147,3.995922454,2.994938307,,,
1.018033503,3.999897246,2.010986634,,,
2.70553578,3.617177031,3.924941324,,,
1.03782039,4.009817559,2.000709324,,,
3.999907807,1.999569452,4.182425296,,,
2.020908137,3.904200486,3.029172525,,,
1.003198573,4.037291581,2.000008759,,,
3.745393462,1.999982594,4.028759916,,,
3.845527162,2.000009626,4.029300761,,,
2.000590598,3.985924344,3.017984843,,,
4.000157369,1.99330715,4.817574483,,,
3.999998255,1.999972476,4.320821278,,,
3.458195997,2.00000787,4.222690506,,,
1.968578205,4.419061904,2.0,,,
1.003210352,4.148035967,2.011101612,,,
3.999981122,1.999876659,4.268941255,,,
2.000480494,3.850832989,2.997542116,,,
3.85319225,1.998830676,4.146903121,,,
2.0,3.998070852,3.029302112,,,
4.000003666,1.995929864,4.377540594,,,
2.001919847,3.996815087,3.022547038,,,
1.000008583,4.022949847,1.999998165,,,
2.063912843,3.775225287,3.059856974,,,
2.617911883,2.194496916,3.880775541,,,
3.999804862,1.999738995,4.970687581,,,
1.985976429,3.994770378,2.998754044,,,
2.035983725,3.63306035,2.326784644,,,
1.77913183,3.97038469,2.679219418,,,
1.999033916,3.849583744,2.99991641,,,
2.000256822,3.999666645,3.047911685,,,
4.268933117,1.99477988,4.99973881,,,
1.018018718,4.00520712,2.008577639,,,
1.008707893,4.003995292,2.000096034,,,
3.998814739,1.999972533,4.377540444,,,
5.345467158,1.000911068,6.992454658,,,
2.130113555,1.037326896,5.59050731,,,
3.929333969,1.993307181,6.006140095,,,
4.277426528,4.000910924,6.679174935,,,
4.913513006,3.999833195,5.992999349,,,
3.70326718,3.978519885,5.679815464,,,
3.507981549,4.851233669,5.941078722,,,
2.780317325,1.679179785,5.857062459,,,
4.548274157,1.904650874,6.003734792,,,
3.556136836,4.0,5.924691446,,,
2.973158446,1.999841774,5.881950136,,,
2.818705305,1.999569496,5.182608899,,,
4.439631618,4.320626799,5.999454109,,,
3.12369474,4.21976068,5.778411664,,,
2.072185138,1.622460663,4.650551339,,,
2.642333988,1.000203428,5.044259854,,,
3.074952308,1.006692856,5.905553384,,,
2.765617847,1.001169512,2.000334455,,,
4.386867016,1.977023023,5.679361207,,,
5.82821711,1.003172699,6.364175327,,,
4.679843332,1.010986943,6.022623816,,,
4.808578218,1.000430568,6.001446152,,,
3.424907897,1.000096105,5.118657973,,,
5.10710239,1.999995837,5.030860431,,,
2.927814873,1.000000026,5.32105333,,,
3.088750034,1.029312688,5.000791513,,,
3.65376965,1.000000054,6.007371469,,,
5.838402242,4.005217865,6.991746188,,,
2.733658881,1.500000334,2.013615352,,,
5.125907354,1.268941558,6.001610168,,,
2.272703999,1.985936379,3.830945664,,,
2.685195605,1.00116951,5.004510472,,,
5.868233266,2.000568544,6.994684829,,,
1.93537202,1.000335456,2.002242692,,,
5.496401397,1.005220127,6.595204431,,,
5.537157662,1.000158455,6.686250619,,,
3.419061903,1.90465059,5.029284717,,,
4.164818974,1.622459344,5.818108919,,,
4.95081273,1.995929863,6.119202869,,,
4.927779375,4.000547994,5.920695193,,,
3.936263394,1.000203438,6.679150985,,,
4.074167028,2.000005345,6.060012076,,,
2.562068128,4.000058145,4.97340658,,,
3.840104972,1.002472628,6.094922801,,,
4.038864196,3.872907168,6.060051416,,,
3.424597754,1.99849882,6.182101312,,,
2.019633293,1.924141833,3.23836472,,,
4.021476927,1.999569462,6.985934934,,,
4.012696959,1.939913354,5.997952523,,,
3.0,1.222700147,4.702314752,,,
2.687953789,1.003172683,4.603601252,,,
5.000551234,1.999664794,6.014063621,,,
3.892115408,1.99849882,6.047415761,,,
3.998503821,1.851952836,6.029272204,,,
2.969358313,1.014063628,5.147892229,,,
1.02428542,1.924141896,1.268946149,,,
2.075913661,1.999964731,4.029464796,,,
3.009410175,1.995930006,5.147926506,,,
2.134263113,1.01798623,4.0,,,
3.81152175,4.000172225,6.268774865,,,
2.462173477,2.000003694,2.030839965,,,
1.89289761,1.500000001,2.000575701,,,
1.982274897,1.99997248,2.253515533,,,
2.920397598,1.952574137,5.962694525,,,
3.997252461,1.999796588,4.976990371,,,
4.095017162,1.982013791,4.999796573,,,
3.940173605,1.73105858,4.952571879,,,
1.017730905,1.037326891,1.92419296,,,
2.064536191,1.999088953,2.279015531,,,
2.412321138,1.000000069,3.229839637,,,
1.384922477,1.119202918,1.323554236,,,
3.997377215,1.000000015,4.970659575,,,
3.998782934,1.268941427,4.999841563,,,
1.692661848,1.999738835,1.973953317,,,
3.993687118,1.999903899,4.43660928,,,
3.999292376,1.622459333,4.999664649,,,
1.009978626,2.000203412,1.005220732,,,
1.057137562,1.004070139,1.500251555,,,
4.000757226,1.977022645,4.998830466,,,
4.32080433,1.991422518,4.999998932,,,
4.095210919,,4.999978555,,,
4.003974036,,4.99966465,,,
3.998237044,,4.998073209,,,
4.010890853,,4.999841563,,,
4.00669059,,4.999996273,,,
4.268630305,,4.999088944,,,
4.119163423,,4.999903898,,,
3.775225297,,4.175947485,,,
4.96266827,,4.999569441,,,
3.99521042,,4.904613593,,,
4.817555154,,4.999995215,,,
1.849044806,,2.012586978,,,
3.998503821,,4.998498815,,,
4.320660229,,4.999999762,,,
3.993281395,,4.998498817,,,
4.000255768,,4.998498814,,,
3.079602402,,3.998891303,,,
4.267856154,,4.962373764,,,
3.999919968,,4.998073245,,,
4.037123745,,4.989011612,,,
3.997536982,,4.999738809,,,
4.000575701,,4.999088947,,,
3.999841971,,4.999876605,,,
1.211528393,,1.731903929,,,
4.007867863,,4.817533551,,,
3.474790762,,3.926991058,,,
2.595838842,,1.778916848,,,
4.01796192,,4.999841561,,,
2.0,,4.000757226,,,
3.999841834,,4.999983299,,,
4.000168071,,4.999999496,,,
3.962467362,,4.997527371,,,
4.000113038,,4.999997098,,,
4.0,,4.998498817,,,
4.075853424,,4.999941709,,,
3.976374865,,4.924140345,,,
3.999424299,,4.999941709,,,
4.000215792,,4.99999774,,,
4.001917795,,4.999998932,,,
4.003974037,,4.99999774,,,
3.999586144,,4.999841564,,,
3.923545496,,4.962671099,,,
3.99526325,,4.991421235,,,
2.367027142,,1.97364497,,,
3.893111098,,4.939869045,,,
4.119198751,,4.999999932,,,
3.998822059,,4.999998932,,,
4.008374072,,4.999796573,,,
4.003014248,,4.999964644,,,
4.002451178,,4.999986993,,,
4.000020613,,4.999925154,,,
4.005016705,,4.999447221,,,
3.999830633,,4.999992111,,,
4.817564132,,4.99999774,,,
4.000258288,,4.999999694,,,
4.952571879,,4.999995215,,,
4.029293325,,4.999986993,,,
4.000836205,,4.999995215,,,
3.997517842,,4.999978555,,,
4.001141974,,4.999986993,,,
3.486387925,,4.029308015,,,
4.00402474,,4.999925154,,,
4.320754157,,4.999998629,,,
4.000013911,,4.999992111,,,
4.676356514,,6.000003414,,,
4.11518866,,5.995930804,,,
4.030369668,,5.924145527,,,
4.850634726,,6.000057985,,,
4.850634723,,6.000015968,,,
5.999970552,,6.924141332,,,
6.008575225,,6.993307149,,,
4.037123742,,5.999290834,,,
4.767413314,,6.00070741,,,
5.320527599,,6.482566686,,,
5.846944666,,6.939900652,,,
4.989348366,,6.000096077,,,
3.819965893,,5.880800739,,,
5.991274743,,6.004294407,,,
5.998820937,,6.817573959,,,
5.693669043,,6.730902405,,,
4.008242159,,5.999841611,,,
4.492018451,,5.985940598,,,
3.97218773,,5.777300757,,,
5.673215349,,6.147353006,,,
5.999692186,,6.962672764,,,
3.326784646,,5.017276757,,,
5.999450948,,6.817574194,,,
2.962839411,,5.060028567,,,
5.543590237,,6.952573625,,,
3.989722647,,5.880797716,,,
6.000091317,,6.880796995,,,
4.727040109,,6.000012176,,,
4.625954695,,5.999998117,,,
5.998827388,,6.880796501,,,
3.974763549,,5.998502544,,,
4.102365208,,5.970688838,,,
3.222025558,,5.037299394,,,
3.734838463,,5.970688117,,,
3.880747532,,5.970688212,,,
5.037160589,,6.000123393,,,
5.010277353,,6.00004531,,,
3.986847253,,5.999447568,,,
3.008281549,,4.99962568,,,
5.999842935,,6.817574462,,,
5.059657638,,6.000000386,,,
5.999548126,,6.220348841,,,
5.731031446,,6.11830472,,,
5.011294718,,6.000016655,,,
4.99909168,,6.000001689,,,
5.999559879,,6.377537473,,,
5.094190451,,6.00012337,,,
4.935372034,,6.000033803,,,
4.989348369,,6.000002897,,,
4.079284755,,5.999960746,,,
4.955740153,,6.000552767,,,
4.182101321,,5.99849885,,,
5.47147241,,6.000334957,,,
3.73590795,,5.500000378,,,
3.110738667,,5.028401937,,,
4.881496713,,6.000001466,,,
3.118657973,,5.010928657,,,
4.254606514,,6.000752615,,,
3.991757841,,5.991422591,,,
4.93998793,,6.000004778,,,
