annotator,metaphor,metaphor_structure,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,BODY_RELATEDNESS_synthetic
2,Quell'uragano è un carrarmato,Nominal predicative,3,4,1
2,Quella borsa è un macigno,Nominal predicative,5,6,2
2,Quella città è una giungla,Nominal predicative,6,7,1
2,Quelle guance sono pesche,Nominal predicative,5,6,6
2,Quel bacio è un peperoncino,Nominal predicative,4,5,7
2,Quella bocca è una fragola,Nominal predicative,6,6,7
2,Quella locomotiva è un drago,Nominal predicative,4,6,1
2,Quella ruga è un burrone,Nominal predicative,5,6,7
2,Quel vestito è una tenda,Nominal predicative,4,5,2
2,Quel lago è un cristallo,Nominal predicative,5,6,1
2,Quel sorriso è una stella,Nominal predicative,6,7,2
2,Quella pelle è una porcellana,Nominal predicative,6,6,7
2,Quel prato è un velluto,Nominal predicative,5,6,1
2,Quel mento è un precipizio,Nominal predicative,4,5,7
2,Quel viso è una seta,Nominal predicative,6,6,7
2,Quella nebbia è un muro,Nominal predicative,4,5,1
2,Quell'orecchio è una padella,Nominal predicative,3,2,7
2,Quella mano è una grattugia,Nominal predicative,2,3,7
2,Quel naso è un uncino,Nominal predicative,4,5,7
2,Quei denti sono una ghigliottina,Nominal predicative,3,4,7
2,Quelle palpebre sono serrande,Nominal predicative,4,5,7
2,Quelle ciglia sono un ventaglio,Nominal predicative,5,6,7
2,Quei piedi sono zattere,Nominal predicative,4,5,7
2,Quella pancia è una mongolfiera,Nominal predicative,5,6,7
2,Quella barba è un batuffolo,Nominal predicative,5,5,7
2,Quegli zigomi sono montagne,Nominal predicative,4,5,7
2,Quelle gambe sono trampoli,Nominal predicative,4,5,7
2,Quella caviglia è un pallone,Nominal predicative,3,4,7
2,Quel braccio è una sbarra,Nominal predicative,4,5,7
2,Quei capelli sono spaghetti,Nominal predicative,5,6,7
2,Quella fronte è una pianura,Nominal predicative,4,5,7
2,Quegli addominali sono marmo,Nominal predicative,5,6,7
2,Quelle labbra sono un canotto,Nominal predicative,3,4,7
2,Quei bicipiti sono sassi,Nominal predicative,5,6,7
2,Quelle unghie sono ruspe,Nominal predicative,3,4,7
2,Quelle dita sono tentacoli,Nominal predicative,4,5,7
2,Quei peli sono aghi,Nominal predicative,5,5,7
2,Quel brufolo è un vulcano,Nominal predicative,6,6,7
2,Quel neo è una mora,Nominal predicative,6,6,7
2,Quell'autostrada è un serpente,Nominal predicative,5,6,1
2,Quella fabbrica è un alveare,Nominal predicative,5,6,1
2,Quella luna è un palloncino,Nominal predicative,5,6,1
2,Quella sigaretta è un proiettile,Nominal predicative,4,5,1
2,Quella stanza è una discarica,Nominal predicative,5,6,1
2,Quel computer è una tartaruga,Nominal predicative,4,5,1
2,Quel libro è una lanterna,Nominal predicative,4,5,1
2,Quell'automobile è un missile,Nominal predicative,5,6,1
2,Quel cavo è un gomitolo,Nominal predicative,4,5,1
2,Quel cappello è un fungo,Nominal predicative,5,6,2
2,Quella grondaia è uno scolapasta,Nominal predicative,4,5,1
2,Quella casa è un gioiello,Nominal predicative,5,6,1
2,Quell'ospedale è un labirinto,Nominal predicative,5,6,1
2,Quel diario è una miniera,Nominal predicative,4,5,1
2,Quell'aiuola è un arcobaleno,Nominal predicative,5,6,1
2,Quel sonaglio è una camomilla,Nominal predicative,3,4,1
2,Quella nuvola è una perla,Nominal predicative,5,6,1
2,Quella firma è un geroglifico,Nominal predicative,5,6,1
2,Quegli abiti sono petali,Nominal predicative,5,6,2
2,Quel mare è uno smeraldo,Nominal predicative,6,7,1
2,Quella piscina è un brodo,Nominal predicative,4,5,1
2,Quel pannolino è una diga,Nominal predicative,3,4,1
2,Quell'aspirapolvere è un'astronave,Nominal predicative,4,5,1
2,Quel bar è un cimitero,Nominal predicative,4,5,1
3,Quell'alito è una fogna,Nominal predicative,5,6,6
3,Quell'uragano è un carrarmato,Nominal predicative,3,5,1
3,Quella borsa è un macigno,Nominal predicative,4,5,2
3,Quella città è una giungla,Nominal predicative,6,7,1
3,Quelle guance sono pesche,Nominal predicative,6,6,7
3,Quel bacio è un peperoncino,Nominal predicative,5,6,7
3,Quella bocca è una fragola,Nominal predicative,6,6,7
3,Quella locomotiva è un drago,Nominal predicative,4,6,1
3,Quella ruga è un burrone,Nominal predicative,5,6,6
3,Quel vestito è una tenda,Nominal predicative,4,4,2
3,Quel lago è un cristallo,Nominal predicative,5,6,1
3,Quel sorriso è una stella,Nominal predicative,6,7,1
3,Quella pelle è una porcellana,Nominal predicative,6,6,7
3,Quel prato è un velluto,Nominal predicative,5,6,1
3,Quel mento è un precipizio,Nominal predicative,4,5,6
3,Quel viso è una seta,Nominal predicative,5,6,7
3,Quella nebbia è un muro,Nominal predicative,4,5,1
3,Quell'orecchio è una padella,Nominal predicative,3,4,7
3,Quella mano è una grattugia,Nominal predicative,3,5,7
3,Quel naso è un uncino,Nominal predicative,4,5,7
3,Quei denti sono una ghigliottina,Nominal predicative,3,5,7
3,Quelle palpebre sono serrande,Nominal predicative,4,5,7
3,Quelle ciglia sono un ventaglio,Nominal predicative,5,6,7
3,Quei piedi sono zattere,Nominal predicative,4,5,6
3,Quella pancia è una mongolfiera,Nominal predicative,5,6,6
3,Quella barba è un batuffolo,Nominal predicative,5,6,7
3,Quegli zigomi sono montagne,Nominal predicative,4,5,7
3,Quelle gambe sono trampoli,Nominal predicative,4,5,7
3,Quella caviglia è un pallone,Nominal predicative,3,4,7
3,Quel braccio è una sbarra,Nominal predicative,4,5,6
3,Quei capelli sono spaghetti,Nominal predicative,5,6,7
3,Quella fronte è una pianura,Nominal predicative,4,5,6
3,Quegli addominali sono marmo,Nominal predicative,5,6,7
3,Quelle labbra sono un canotto,Nominal predicative,3,4,7
3,Quei bicipiti sono sassi,Nominal predicative,5,6,7
3,Quelle unghie sono ruspe,Nominal predicative,3,4,7
3,Quelle dita sono tentacoli,Nominal predicative,4,5,7
3,Quei peli sono aghi,Nominal predicative,4,5,7
3,Quel brufolo è un vulcano,Nominal predicative,5,6,7
3,Quel neo è una mora,Nominal predicative,6,6,7
3,Quell'autostrada è un serpente,Nominal predicative,4,5,1
3,Quella fabbrica è un alveare,Nominal predicative,5,6,1
3,Quella luna è un palloncino,Nominal predicative,5,6,1
3,Quella sigaretta è un proiettile,Nominal predicative,4,5,1
3,Quella stanza è una discarica,Nominal predicative,5,6,1
3,Quel computer è una tartaruga,Nominal predicative,3,4,1
3,Quel libro è una lanterna,Nominal predicative,4,5,1
3,Quell'automobile è un missile,Nominal predicative,5,6,1
3,Quel cavo è un gomitolo,Nominal predicative,4,4,1
3,Quel cappello è un fungo,Nominal predicative,5,5,2
3,Quella grondaia è uno scolapasta,Nominal predicative,4,5,1
3,Quella casa è un gioiello,Nominal predicative,5,6,1
3,Quell'ospedale è un labirinto,Nominal predicative,5,6,1
3,Quel diario è una miniera,Nominal predicative,5,6,1
3,Quell'aiuola è un arcobaleno,Nominal predicative,4,5,1
3,Quel sonaglio è una camomilla,Nominal predicative,3,4,1
3,Quella nuvola è una perla,Nominal predicative,5,6,1
3,Quella firma è un geroglifico,Nominal predicative,5,6,1
3,Quegli abiti sono petali,Nominal predicative,5,6,2
3,Quel mare è uno smeraldo,Nominal predicative,6,7,1
3,Quella piscina è un brodo,Nominal predicative,4,5,1
3,Quel pannolino è una diga,Nominal predicative,3,4,2
3,Quell'aspirapolvere è un'astronave,Nominal predicative,3,4,1
3,Quel bar è un cimitero,Nominal predicative,4,5,1
4,Quell'alito è una fogna,Nominal predicative,6,5,6
4,Quell'uragano è un carrarmato,Nominal predicative,3,6,1
4,Quella borsa è un macigno,Nominal predicative,5,6,1
4,Quella città è una giungla,Nominal predicative,6,7,1
4,Quelle guance sono pesche,Nominal predicative,5,6,7
4,Quel bacio è un peperoncino,Nominal predicative,4,6,7
4,Quella bocca è una fragola,Nominal predicative,5,6,7
4,Quella locomotiva è un drago,Nominal predicative,4,7,1
4,Quella ruga è un burrone,Nominal predicative,5,6,6
4,Quel vestito è una tenda,Nominal predicative,4,5,1
4,Quel lago è un cristallo,Nominal predicative,4,6,1
4,Quel sorriso è una stella,Nominal predicative,5,7,1
4,Quella pelle è una porcellana,Nominal predicative,6,7,7
