annotator,metaphor,metaphor_structure,PHISICALITY_synthetic,IMAGEBILITY_synthetic
3,Certi insegnanti sono ghiaccioli,Nominal predicative,3,4
3,Certi fruttivendoli sono megafoni,Nominal predicative,4,4
3,Alcuni amici sono ancore,Nominal predicative,4,3
3,Certi burocrati sono fossili,Nominal predicative,2,4
3,Alcuni anziani sono lumache,Nominal predicative,4,3
3,Certi corridori sono lepri,Nominal predicative,5,6
3,Quegli scolari sono uragani,Nominal predicative,5,5
3,Alcune segretarie sono agende,Nominal predicative,4,6
3,Certi leader sono fari,Nominal predicative,5,7
3,Certi scienziati sono lampi,Nominal predicative,5,6
3,Quegli eremiti sono lupi,Nominal predicative,5,7
3,Quelle spose sono nuvole,Nominal predicative,4,4
3,Certi nasi sono uncini,Nominal predicative,4,7
3,Quelle labbra sono canotti,Nominal predicative,6,6
3,Certi bicipiti sono sassi,Nominal predicative,6,5
4,Certi avvocati sono squali,Nominal predicative,4,6
4,Quegli scalatori sono scoiattoli,Nominal predicative,1,1
4,Alcuni bambini sono fontane,Nominal predicative,7,1
4,Certi banchieri sono vampiri,Nominal predicative,4,6
4,Alcuni colleghi sono zecche,Nominal predicative,5,6
4,Certi giornalisti sono avvoltoi,Nominal predicative,5,6
4,Alcuni professori sono enciclopedie,Nominal predicative,2,1
4,Quei poliziotti sono leoni,Nominal predicative,1,5
4,Certe acconciature sono cespugli,Nominal predicative,2,7
4,Certe fanciulle sono rose,Nominal predicative,6,7
4,Certe indossatrici sono bambole,Nominal predicative,3,7
4,Certi bimbetti sono colla,Nominal predicative,1,1
4,Alcuni venditori sono ortiche,Nominal predicative,3,5
4,Certi ladri sono gatti,Nominal predicative,3,5
4,Alcune suocere sono vipere,Nominal predicative,5,7
4,Alcuni atleti sono statue,Nominal predicative,5,6
4,Certi ginnasti sono burattini,Nominal predicative,6,7
4,Quelle ballerine sono libellule,Nominal predicative,5,7
4,Quelle bambine sono zuccherini,Nominal predicative,3,7
4,Quei chitarristi sono mitraglie,Nominal predicative,4,6
4,Certi impiegati sono zerbini,Nominal predicative,3,5
4,Alcuni neonati sono batuffoli,Nominal predicative,6,7
4,Alcuni cantanti sono usignoli,Nominal predicative,5,1
4,Certi pesisti sono ippopotami,Nominal predicative,7,7
4,Quei cuochi sono mongolfiere,Nominal predicative,3,5
4,Alcuni politici sono pavoni,Nominal predicative,5,5
4,Quei degenti sono mummie,Nominal predicative,6,6
4,Certi insegnanti sono ghiaccioli,Nominal predicative,2,5
4,Certi fruttivendoli sono megafoni,Nominal predicative,5,5
4,Alcuni amici sono ancore,Nominal predicative,5,1
4,Certi burocrati sono fossili,Nominal predicative,3,5
4,Alcuni anziani sono lumache,Nominal predicative,3,5
4,Certi corridori sono lepri,Nominal predicative,6,6
4,Quegli scolari sono uragani,Nominal predicative,2,1
4,Alcune segretarie sono agende,Nominal predicative,2,5
4,Certi leader sono fari,Nominal predicative,6,5
4,Certi scienziati sono lampi,Nominal predicative,6,5
4,Quegli eremiti sono lupi,Nominal predicative,2,5
4,Quelle spose sono nuvole,Nominal predicative,6,7
4,Certi nasi sono uncini,Nominal predicative,3,7
4,Quelle labbra sono canotti,Nominal predicative,5,7
4,Certi bicipiti sono sassi,Nominal predicative,5,7
5,Certi avvocati sono squali,Nominal predicative,4,6
5,Quegli scalatori sono scoiattoli,Nominal predicative,2,1
5,Alcuni bambini sono fontane,Nominal predicative,3,2
5,Certi banchieri sono vampiri,Nominal predicative,5,6
5,Alcuni colleghi sono zecche,Nominal predicative,5,5
5,Certi giornalisti sono avvoltoi,Nominal predicative,4,6
5,Alcuni professori sono enciclopedie,Nominal predicative,4,2
5,Quei poliziotti sono leoni,Nominal predicative,5,7
5,Certe acconciature sono cespugli,Nominal predicative,4,2
5,Certe fanciulle sono rose,Nominal predicative,6,3
5,Certe indossatrici sono bambole,Nominal predicative,5,6
5,Certi bimbetti sono colla,Nominal predicative,2,1
5,Alcuni venditori sono ortiche,Nominal predicative,4,2
5,Certi ladri sono gatti,Nominal predicative,6,6
5,Alcune suocere sono vipere,Nominal predicative,6,6
5,Alcuni atleti sono statue,Nominal predicative,7,7
5,Certi ginnasti sono burattini,Nominal predicative,6,7
5,Quelle ballerine sono libellule,Nominal predicative,6,6
5,Quelle bambine sono zuccherini,Nominal predicative,6,2
5,Quei chitarristi sono mitraglie,Nominal predicative,4,4
5,Certi impiegati sono zerbini,Nominal predicative,4,2
5,Alcuni neonati sono batuffoli,Nominal predicative,6,2
5,Alcuni cantanti sono usignoli,Nominal predicative,7,2
5,Certi pesisti sono ippopotami,Nominal predicative,7,7
5,Quei cuochi sono mongolfiere,Nominal predicative,5,3
5,Alcuni politici sono pavoni,Nominal predicative,6,6
5,Quei degenti sono mummie,Nominal predicative,6,6
5,Certi insegnanti sono ghiaccioli,Nominal predicative,5,2
5,Certi fruttivendoli sono megafoni,Nominal predicative,6,4
5,Alcuni amici sono ancore,Nominal predicative,5,2
5,Certi burocrati sono fossili,Nominal predicative,5,3
5,Alcuni anziani sono lumache,Nominal predicative,5,4
5,Certi corridori sono lepri,Nominal predicative,7,6
5,Quegli scolari sono uragani,Nominal predicative,5,3
5,Alcune segretarie sono agende,Nominal predicative,4,4
5,Certi leader sono fari,Nominal predicative,7,7
5,Certi scienziati sono lampi,Nominal predicative,6,6
5,Quegli eremiti sono lupi,Nominal predicative,6,6
5,Quelle spose sono nuvole,Nominal predicative,5,4
5,Certi nasi sono uncini,Nominal predicative,6,7
5,Quelle labbra sono canotti,Nominal predicative,6,7
5,Certi bicipiti sono sassi,Nominal predicative,6,6
6,Certi avvocati sono squali,Nominal predicative,2,3
6,Quegli scalatori sono scoiattoli,Nominal predicative,1,1
6,Alcuni bambini sono fontane,Nominal predicative,1,1
6,Certi banchieri sono vampiri,Nominal predicative,4,4
6,Alcuni colleghi sono zecche,Nominal predicative,2,2
6,Certi giornalisti sono avvoltoi,Nominal predicative,3,5
6,Alcuni professori sono enciclopedie,Nominal predicative,4,1
6,Quei poliziotti sono leoni,Nominal predicative,2,6
6,Certe acconciature sono cespugli,Nominal predicative,1,1
6,Certe fanciulle sono rose,Nominal predicative,3,4
6,Certe indossatrici sono bambole,Nominal predicative,5,4
6,Certi bimbetti sono colla,Nominal predicative,1,1
6,Alcuni venditori sono ortiche,Nominal predicative,2,2
6,Certi ladri sono gatti,Nominal predicative,4,4
6,Alcune suocere sono vipere,Nominal predicative,3,5
6,Alcuni atleti sono statue,Nominal predicative,4,5
6,Certi ginnasti sono burattini,Nominal predicative,6,6
6,Quelle ballerine sono libellule,Nominal predicative,4,4
6,Quelle bambine sono zuccherini,Nominal predicative,4,4
6,Quei chitarristi sono mitraglie,Nominal predicative,2,2
6,Certi impiegati sono zerbini,Nominal predicative,2,2
6,Alcuni neonati sono batuffoli,Nominal predicative,6,3
6,Alcuni cantanti sono usignoli,Nominal predicative,4,2
6,Certi pesisti sono ippopotami,Nominal predicative,4,6
6,Quei cuochi sono mongolfiere,Nominal predicative,3,1
6,Alcuni politici sono pavoni,Nominal predicative,5,6
6,Quei degenti sono mummie,Nominal predicative,3,4
6,Certi insegnanti sono ghiaccioli,Nominal predicative,4,2
6,Certi fruttivendoli sono megafoni,Nominal predicative,3,2
6,Alcuni amici sono ancore,Nominal predicative,4,1
6,Certi burocrati sono fossili,Nominal predicative,4,2
6,Alcuni anziani sono lumache,Nominal predicative,3,3
6,Certi corridori sono lepri,Nominal predicative,5,5
6,Quegli scolari sono uragani,Nominal predicative,4,4
6,Alcune segretarie sono agende,Nominal predicative,2,4
6,Certi leader sono fari,Nominal predicative,4,4
6,Certi scienziati sono lampi,Nominal predicative,5,4
6,Quegli eremiti sono lupi,Nominal predicative,3,5
6,Quelle spose sono nuvole,Nominal predicative,4,4
6,Certi nasi sono uncini,Nominal predicative,4,7
6,Quelle labbra sono canotti,Nominal predicative,5,5
6,Certi bicipiti sono sassi,Nominal predicative,6,7
7,Certi avvocati sono squali,Nominal predicative,4,6
7,Quegli scalatori sono scoiattoli,Nominal predicative,2,1
7,Alcuni bambini sono fontane,Nominal predicative,1,2
7,Certi banchieri sono vampiri,Nominal predicative,5,6
7,Alcuni colleghi sono zecche,Nominal predicative,4,5
7,Certi giornalisti sono avvoltoi,Nominal predicative,3,4
7,Alcuni professori sono enciclopedie,Nominal predicative,1,1
7,Quei poliziotti sono leoni,Nominal predicative,3,6
7,Certe acconciature sono cespugli,Nominal predicative,2,3
7,Certe fanciulle sono rose,Nominal predicative,5,7
7,Certe indossatrici sono bambole,Nominal predicative,6,5
7,Certi bimbetti sono colla,Nominal predicative,1,2
7,Alcuni venditori sono ortiche,Nominal predicative,2,3
7,Certi ladri sono gatti,Nominal predicative,4,4
7,Alcune suocere sono vipere,Nominal predicative,5,6
7,Alcuni atleti sono statue,Nominal predicative,4,6
7,Certi ginnasti sono burattini,Nominal predicative,6,7
7,Quelle ballerine sono libellule,Nominal predicative,4,5
7,Quelle bambine sono zuccherini,Nominal predicative,5,7
7,Quei chitarristi sono mitraglie,Nominal predicative,3,6
7,Certi impiegati sono zerbini,Nominal predicative,3,4
7,Alcuni neonati sono batuffoli,Nominal predicative,5,6
7,Alcuni cantanti sono usignoli,Nominal predicative,3,4
7,Certi pesisti sono ippopotami,Nominal predicative,6,7
7,Quei cuochi sono mongolfiere,Nominal predicative,5,6
7,Alcuni politici sono pavoni,Nominal predicative,4,6
7,Quei degenti sono mummie,Nominal predicative,6,6
7,Certi insegnanti sono ghiaccioli,Nominal predicative,4,4
7,Certi fruttivendoli sono megafoni,Nominal predicative,4,6
7,Alcuni amici sono ancore,Nominal predicative,5,4
7,Certi burocrati sono fossili,Nominal predicative,4,5
7,Alcuni anziani sono lumache,Nominal predicative,3,5
7,Certi corridori sono lepri,Nominal predicative,6,4
7,Quegli scolari sono uragani,Nominal predicative,4,6
7,Alcune segretarie sono agende,Nominal predicative,6,7
7,Certi leader sono fari,Nominal predicative,5,7
7,Certi scienziati sono lampi,Nominal predicative,6,7
7,Quegli eremiti sono lupi,Nominal predicative,3,5
7,Quelle spose sono nuvole,Nominal predicative,5,4
7,Certi nasi sono uncini,Nominal predicative,6,6
7,Quelle labbra sono canotti,Nominal predicative,5,5
7,Certi bicipiti sono sassi,Nominal predicative,6,6
8,Certi avvocati sono squali,Nominal predicative,3,4
8,Quegli scalatori sono scoiattoli,Nominal predicative,4,3
8,Alcuni bambini sono fontane,Nominal predicative,1,3
8,Certi banchieri sono vampiri,Nominal predicative,5,4
8,Alcuni colleghi sono zecche,Nominal predicative,3,2
8,Certi giornalisti sono avvoltoi,Nominal predicative,4,5
8,Alcuni professori sono enciclopedie,Nominal predicative,2,2
8,Quei poliziotti sono leoni,Nominal predicative,4,6
8,Certe acconciature sono cespugli,Nominal predicative,1,2
8,Certe fanciulle sono rose,Nominal predicative,3,6
8,Certe indossatrici sono bambole,Nominal predicative,4,6
8,Certi bimbetti sono colla,Nominal predicative,1,2
8,Alcuni venditori sono ortiche,Nominal predicative,3,2
8,Certi ladri sono gatti,Nominal predicative,4,5
8,Alcune suocere sono vipere,Nominal predicative,4,5
8,Alcuni atleti sono statue,Nominal predicative,5,5
8,Certi ginnasti sono burattini,Nominal predicative,5,6
8,Quelle ballerine sono libellule,Nominal predicative,4,6
8,Quelle bambine sono zuccherini,Nominal predicative,6,6
8,Quei chitarristi sono mitraglie,Nominal predicative,2,4
8,Certi impiegati sono zerbini,Nominal predicative,2,3
8,Alcuni neonati sono batuffoli,Nominal predicative,4,6
8,Alcuni cantanti sono usignoli,Nominal predicative,3,3
8,Certi pesisti sono ippopotami,Nominal predicative,4,6
8,Quei cuochi sono mongolfiere,Nominal predicative,3,3
8,Alcuni politici sono pavoni,Nominal predicative,5,6
8,Quei degenti sono mummie,Nominal predicative,5,6
8,Certi insegnanti sono ghiaccioli,Nominal predicative,5,5
8,Certi fruttivendoli sono megafoni,Nominal predicative,3,4
8,Alcuni amici sono ancore,Nominal predicative,4,4
8,Certi burocrati sono fossili,Nominal predicative,2,3
8,Alcuni anziani sono lumache,Nominal predicative,3,3
8,Certi corridori sono lepri,Nominal predicative,5,6
8,Quegli scolari sono uragani,Nominal predicative,6,5
8,Alcune segretarie sono agende,Nominal predicative,3,2
8,Certi leader sono fari,Nominal predicative,5,5
8,Certi scienziati sono lampi,Nominal predicative,5,6
8,Quegli eremiti sono lupi,Nominal predicative,2,4
8,Quelle spose sono nuvole,Nominal predicative,3,4
8,Certi nasi sono uncini,Nominal predicative,6,6
8,Quelle labbra sono canotti,Nominal predicative,6,6
8,Certi bicipiti sono sassi,Nominal predicative,5,6
9,Certi avvocati sono squali,Nominal predicative,4,4
