annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,BODY_RELATEDNESS_synthetic
10,Quella fronte è una pianura,2,5,6
10,Quegli addominali sono marmo,6,7,7
10,Quelle labbra sono un canotto,2,2,6
10,Quei bicipiti sono sassi,6,7,7
10,Quelle unghie sono ruspe,6,5,7
10,Quelle dita sono tentacoli,4,6,6
10,Quei peli sono aghi,4,6,6
10,Quel brufolo è un vulcano,5,6,6
10,Quel neo è una mora,5,6,7
10,Quell'autostrada è un serpente,4,7,1
10,Quella fabbrica è un alveare,4,6,1
10,Quella luna è un palloncino,2,4,1
10,Quella sigaretta è un proiettile,4,6,1
10,Quella stanza è una discarica,4,6,1
