ID;Met_structure;Metaphor;Translation (english);Source;Author;Type_of_text;Introductory_sentence;Original_context;length_context;Structure_type;Word1;Length_topic;Frequency_topic;Concreteness_topic;Word2;Length_vehicle;Frequency_vehicle;Concreteness_vehicle;SemanticDistance;Cloze_probability_withoucontext;Familiarity_withoutcontext;Concreteness_withoutcontext;Difficulty_withoutcontext;Meaningfulness_withoutcontext;Gulpease_incontext;Cloze_probability_incontext;Familiarity_incontext;Concreteness_incontext;Difficulty_incontext;Meaningfulness_incontext;Bambini et al. (2014);IUSS NEPLab MetaLiterary study
FA_LIT221;Genitive;parole di fuoco;words of fire;L'Illusione;De Roberto, Federico;PROSE;;"Ella chiuse gli occhi, poi gli buttò le braccia al collo. Così, guancia
contro guancia, egli le soffiò all'orecchio le parole di fuoco";23;TV;parole;6;1452;3,211;fuoco;5;609;4,179;0,771;;;;;;;;;;;;N;Y
FA_LIT262;Genitive;sogno di sangue;dream of blood;Le ore inutili: novelle;Guglielminetti, Amalia;PROSE;;"
In luogo d'una visione di campi devastati, di città incendiate, di
turbolenti dominazioni, in luogo di quel sogno di sangue e di fumo,
ch'è retaggio ed incubo del vecchio mondo, la nuova società vede
disegnarsi l'attività futura dei suoi figli su un fondo sereno di
pace e di progresso";48;TV;sogno;5;554;3,246;sangue;6;473;4,181;0,676;;;;;;;;;;;;N;Y
FA_LIT212;Genitive;silenzio di ghiaccio;silence of ice;Vecchie Storie;De Marchi, Emilio;PROSE;;"Gettò un grido, storcendo la bocca, alzando le due mani
colle dita rigide, adunche, mentre un silenzio profondo, un silenzio
brutale, un silenzio di ghiaccio sottentrò alla festa";26;TV;silenzio;8;381;3,254;ghiaccio;8;87;4,122;0,819;;;;;;;;;;;;N;Y
FA_LIT467;Genitive;silenzio di ombre;silence of shadows;L'idolo;Rovetta, Gerolamo;PROSE;;"È un gran silenzio intorno: un
silenzio di ombre, infinito; la quiete d'ogni cosa viva.";15;TV;silenzio;8;381;3,254;ombre;5;265;3,288;0,76;;;;;;;;;;;;N;Y
FA_LIT332;Genitive;voce di bronzo;voice of bronze;L'aeroplano del papa: Romanzo profetico in versi liberi;Marinetti, F. T.;POEM;;"Io fui lusingato, o Vulcano, dalla tua voce di bronzo,
  e ancora ondeggio da un'illusione all'altra
  nel cupo miraggio del tuo Impero di fuoco";29;TV;voce;4;1023;3,286;bronzo;6;56;4,315;0,828;;;;;;;;;;;;N;Y
FA_LIT333;Genitive;voce di cristallo;voice of crystal;L'aeroplano del papa: Romanzo profetico in versi liberi;Marinetti, F. T.;POEM;;"l silenzio è tanto grande
  e quelle tre nubi d'argento sono tanto vive
  e tanto attente,
  che stanno per cantare
  con la loro più bella voce di cristallo";33;TV;voce;4;1023;3,286;cristallo;9;49;3,965;0,741;;;;;;;;;;;;N;Y
FA_LIT379;Genitive;sogni di paradiso;dreams of paradise;Al di là;Oriani, Alfredo;PROSE;;"Ho letto già di una fata, che aveva un origliere, sul quale potendo
dormire si facevano sogni di paradiso e che la fata era obbligata a realizzare";26;TV;sogni;5;1;3,312;paradiso;8;92;3,788;0,825;;;;;;;;;;;;N;Y
FA_LIT354;Genitive;fronte di rosa;forehead of rose;Tempeste;Negri, Ada;POEM;;"I sogni sfiorano
    La delicata
    Fronte di rosa";14;TV;fronte;6;321;3,374;rosa;4;197;4,331;0,758;;;;;;;;;;;;N;Y
FA_LIT050;Genitive;grido di tempesta;cry of tempest;Odi e Inni;Pascoli;POEM;Questo brano descrive il compositore Giuseppe Verdi come un eroe.;"Dove?... Sull’Alpi d’Italia! \ Forse il Vecchio è un giovinetto. \ Sale un ghiacciaio; s'arresta \ poi ch'una voce gli ha detto, \ con un grido di tempesta: \ Qui c'è nostro!";35;TV;grido;5;150;3,401;tempesta;8;77;3,903;0,728;0;2,933;2,267;2,2;3,533;;;;;;;Y;N
FA_LIT391;Genitive;luce di zaffiro;light of sapphire;La disfatta;Oriani, Alfredo;PROSE;;"Giorgi invece prendeva per
la propria musica le mosse dal paradiso di Dante; e se la parola e
l'immagine avevano rappresentato Cristo, la musica doveva esprimere lo
spirito, questo inaccessibile rimasto senza culto, e che veglia come
una luce di zaffiro in fondo a tutte le coscienze";44;TV;luce;4;730;3,437;zaffiro;7;5;4,106;0,868;;;;;;;;;;;;N;Y
FA_LIT318;Genitive;lingua di fuoco;tongue of fire;L'aeroplano del papa: Romanzo profetico in versi liberi;Marinetti, F. T.;POEM;;"on la bocca spalancata
  rasente le onde che sembrano denti
  su cui, ecco, ora passa una lingua di fuoco giallo";22;TV;lingua;6;289;3,439;fuoco;5;609;4,179;0,755;;;;;;;;;;;;N;Y
FA_LIT465;Genitive;lingua di piombo;tongue of lead;L'idolo;Rovetta, Gerolamo;PROSE;;"È rimasto
ad un tratto, per combinazione, per dispetto, col cervello vuoto
e colla lingua di piombo";16;TV;lingua;6;289;3,439;piombo;6;68;4,616;0,8;;;;;;;;;;;;N;Y
FA_LIT226;Genitive;membra di piombo;limbs of lead;"La messa di nozze; Un sogno; La bella morte";De Roberto, Federico;PROSE;;"Era rimasto inchiodato sulla
poltrona, innanzi alla scrivania, con le membra di piombo, con gli occhi
aridi e bruciati";18;TV;membra;6;245;3,46;piombo;6;68;4,616;0,842;;;;;;;;;;;;N;Y
FA_LIT026;Genitive;fantasmi di pace;ghosts of peace;Mal Giocondo;Pirandello;POEM;Questo brano descrive la speranza del poeta di poter superare il pessimismo attraverso l'amore terreno.;"Teco sogno passar per la memoria \ de le lontane genti, o  amica terrena, \ quante volte la Terra, de le nebbie \ discolta rinnovallisi;
sogno passar sì come due fantasmi \ di pace apportatori in mezzo agli uomini \ d'un mio canto perenne ricordevoli \ a la stagione florida;";51;TV;fantasmi;8;114;3,475;pace;4;401;2,756;0,809;0;1,6;1,2;3,2;2,267;;;;;;;Y;N
FA_LIT450;Genitive;onda di sangue;wave of blood;Le notti degli emigrati a Londra;Petruccelli della Gattina, Ferdinando;PROSE;;"Una scarsa onda di sangue restava a pena circolante pei tessuti; nel
cervello debolmente irrigato ogni attività ristagnava come in una
macchina a cui la forza motrice del liquido difetti";28;TV;onda;4;171;3,512;sangue;6;473;4,181;0,803;;;;;;;;;;;;N;Y
FA_LIT460;Genitive;sguardo di ciel;glance of heaven;Lucifero;Rapisardi, Mario;POEM;;"e sentì allora,
    Ch'ivi, da canto a lei, sotto quel caro
    Sguardo di ciel, che le vivea negli occhi,
    Era la patria sua, l'aurea contrada
    Dei sogni suoi";42;TV;sguardo;7;375;3,549;ciel;4;321;4,11;0,71;;;;;;;;;;;;N;Y
FA_LIT252;Genitive;sguardo di fiamma;look of flame;Verso la cuna del mondo: Lettere dall'India;Gozzano, Guido;PROSE;;"Un gruppo di questi miserabili è
adunato intorno ad un santo ancora giovane, dalla bruna barba divisa,
dallo sguardo di fiamma";19;TV;sguardo;7;375;3,549;fiamma;6;151;4,013;0,784;;;;;;;;;;;;N;Y
FA_LIT398;Genitive;sillabe di morte;syllables of death;Fuochi di bivacco;Oriani, Alfredo;PROSE;;"le idee sprizzavano da tutti i cozzi, squillavano dalle incudini, chiassavano nei mercati, prorompevano dalle università, sbucavano dalle botteghe,
poi, addensandosi nei giornali, vi si incendiavano come fieni estivi, mentre dal fondo oscuro, anonimo della plebe soffiava come un vento gelido e fetido, che sembrava gittare in alto dei singhiozzi di agonia e delle sillabe di morte";56;TV;sillabe;7;10;3,575;morte;5;815;3,138;0,85;;;;;;;;;;;;N;Y
FA_LIT012;Genitive;brivido di ferro;shiver of iron;Le Canzoni di Re Enzio;Pascoli;POEM;Questo brano parla di una battaglia.;Ma uno squillo suona al ciel, di guerra, \ come uno strillo d'aquila sul monte. \ I cavalieri levano la spada \ ed i gonfalonieri il gonfalone. \ Levano il duro pungolo i biolchi, \ e i trombettieri imboccano le trombe. \ Tutti si son branditi dentro l'arme. \ Per tutto è corso un brivido di ferro. \ Spiccia dagli occhi a donne e vecchi il pianto.;69;TV;brivido;7;91;3,622;ferro;5;206;4,251;0,864;0;2,133;1,8;3,267;2,2;74;0;1,27;1,33;3;2,8;Y;N
FA_LIT447;Genitive;semi di religione;seeds of religion;Racconti;Percoto, Caterina;PROSE;;Ho peraltro più volte dubitato che l'esser lungi dal tuo paese, il menar vita raminga, e Dio sa con che gente! non distruggesse nel tuo cuore quei semi di religione e di affetto;34;TV;semi;4;1;3,645;religione;9;151;2,138;0,768;;;;;;;;;;;;N;Y
FA_LIT127;Genitive;fame di spettri;hunger of specters;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;;"Morbo fin allora sconosciuto, che
respirai, atroce gelosia del passato, fame di spettri";12;TV;fame;4;174;3,657;spettri;7;31;2,963;0,838;;;;;;;;;;;;N;Y
FA_LIT203;Genitive;vertigine di fiamma;vertigo of flame;La Leda senza cigno;D'Annunzio, Gabriele;PROSE;;"Tocco il fondo della più opaca tristezza. Sono tra
buio e barbaglio. Ho in un occhio l'orribile ragno nero, e nell'altro
una vertigine di fiamma";25;TV;vertigine;9;15;3,66;fiamma;6;151;4,013;0,81;;;;;;;;;;;;N;Y
FA_LIT431;Genitive;corpo di alabastro;body of alabaster;La lanterna di Diogene;Panzini, Alfredo;PROSE;;"Quel suo corpo di
alabastro pareva soffrire al peso delle troppe vesti.";11;TV;corpo;5;876;3,682;alabastro;9;5;4,644;0,726;;;;;;;;;;;;N;Y
FA_LIT147;Genitive;cervello di ghiaccio;brain of ice;Nanà  a Milano;Arrighi, Cletto;PROSE;;"dinanzi a lei si trovava di aver il cuore di
coniglio, il cervello di ghiaccio e la lingua mozza";18;TV;cervello;8;178;3,69;ghiaccio;8;87;4,122;0,666;;;;;;;;;;;;N;Y
FA_LIT321;Genitive;odore di luna;smell of moon;L'aeroplano del papa: Romanzo profetico in versi liberi;Marinetti, F. T.;POEM;;"cacciar fuori dai tuoi polmoni
  quest'odore di luna paludosa
  e di cipressi civettuoli";16;TV;odore;5;145;3,735;luna;4;181;4,145;0,827;;;;;;;;;;;;N;Y
FA_LIT439;Genitive;foreste di ametista;forests of amethyst;Prose (1880-1890);Pascarella, Cesare;PROSE;;"La luna di platino, il cielo
di cobalto, le nubi di madreperla, le foreste di ametista, le radiche
degli alberi fatte di vipere morte, i pioppi consapevoli e discreti,
i fiumi fedeli, i cefali bianchi e le altre mille cose straordinarie,
che io avevo lette tante volte in poesia, ed ero certo di trovare
qui in prosa, le ho ancora da vedere";57;TV;foreste;7;121;3,778;ametista;8;1;4,107;0,757;;;;;;;;;;;;N;Y
FA_LIT040;Genitive;foreste d'oro;forests of gold;Myricae;Pascoli;POEM;;;;TV;foreste;7;121;3,778;oro;3;395;4,383;0,865;;1,733;1,933;3;2,4;;;;;;;Y;N
FA_LIT353;Genitive;man di cera;man of wax;Tempeste;Negri, Ada;POEM;;E voglio qui le stanche, le pallenti Gracili dame da la man di cera.;14;TV;man;3;1595;3,791;cera;4;25;4,834;0,834;;;;;;;;;;;;N;Y
FA_LIT359;Genitive;man di rosa;man of rose;Maternità;Negri, Ada;POEM;;"a madre veglia—e ancora, nel divino
    silenzio, ella non osa
    toglier la sua da quella man di rosa
    che tiene avvinto tutto il suo destino";34;TV;man;3;1595;3,791;rosa;4;197;4,331;0,806;;;;;;;;;;;;N;Y
FA_LIT441;Genitive;nubi di madreperla;clouds of mother of pearl;Prose (1880-1890);Pascarella, Cesare;PROSE;;"La luna di platino, il cielo
di cobalto, le nubi di madreperla, le foreste di ametista, le radiche
degli alberi fatte di vipere morte, i pioppi consapevoli e discreti,
i fiumi fedeli, i cefali bianchi e le altre mille cose straordinarie,
che io avevo lette tante volte in poesia, ed ero certo di trovare
qui in prosa, le ho ancora da vedere";57;TV;nubi;4;41;3,792;madreperla;10;4;4,657;0,83;;;;;;;;;;;;N;Y
FA_LIT187;Genitive;sigillo di sangue;seal of blood;Il Miraggio: Romanzo;D'Ambra, Lucio;PROSE;;"ma parlò per colei che ascoltava dietro la
portiera, per colei che doveva trarre da quelle sue parole l'ultima
prova di sincerità e di pentimento, per colei che doveva considerarle
come un sigillo di sangue posto sul passato doloroso e colpevole";39;TV;sigillo;7;13;3,794;sangue;6;473;4,181;0,684;;;;;;;;;;;;N;Y
FA_LIT383;Genitive;brividi di luce;shivers of light;No;Oriani, Alfredo;PROSE;;"Spesso le pareva di rivederla
trasfigurata dalla passione, come in quella notte fatale piegando
Enrico quasi in due nella stretta spasmodica dell'abbraccio, con una
pallidezza di spettro e tutto il corpo vibrante sotto quella veste di
raso nero, per la quale correvano brividi di luce elettrica";43;TV;brividi;7;91;3,796;luce;4;730;3,437;0,692;;;;;;;;;;;;N;Y
FA_LIT423;Genitive;brividi di morte;chills of death;Il codice di Perelà;Palazzeschi, Aldo;PROSE;;"Quello che io ho sofferto in quel giorno, quali spasimi crudeli, quali
brividi di morte, l'attendente corse all'uscio ma non potè uscire,
allora si pose in un cantone con due occhi quasi lagrimosi, e guardò,
guardò come un ebete sino alla fine";41;TV;brividi;7;91;3,796;morte;5;815;3,138;0,803;;;;;;;;;;;;N;Y
FA_LIT402;Genitive;brividi di stelle;shivers of stars;Fuochi di bivacco;Oriani, Alfredo;PROSE;;"E non il suo talento di attore, quasi sempre fin troppo scarso,
non la perfezione tecnica della sua gola, agiscono sul vostro spirito
destandone i sogni, che s'involano lungi tra ombre e trasparenze, tra
fantasmi e simboli, tra brividi di stelle e di lagrime";42;TV;brividi;7;91;3,796;stelle;6;261;3,77;0,883;;;;;;;;;;;;N;Y
FA_LIT239;Genitive;mari di sangue;seas of blood;Poesie e novelli in versi;Fontana, Ferdinando;POEM;;"Veggo mari di sangue, e templi, e troni
Accatastati, e altari, e deliranti
Moltitudini, e donne, e bare, e fiori,
E spade luccicanti";20;TV;mari;4;630;3,799;sangue;6;473;4,181;0,601;;;;;;;;;;;;N;Y
FA_LIT337;Genitive;mari di seta;seas of silk;L'alcova d'acciaio: Romanzo vissuto;Marinetti, F. T.;PROSE;;"Pelle
divina dell'Italia lambita dai mari di seta e sospiri";10;TV;mari;4;630;3,799;seta;4;116;4,4;0,823;;;;;;;;;;;;N;Y
FA_LIT407;Genitive;deserto di cristallo;desert of crystal;Fuochi di bivacco;Oriani, Alfredo;PROSE;;"Nessuna tentazione di guadagno nel loro proposito, nessuna vanità di
regno nella conquista dell'impero sconosciuto, lassù, lontano, dove il
mare si rapprende in un deserto di cristallo, il giorno e la notte si
dividono l'anno a mezzo";36;TV;deserto;7;110;3,803;cristallo;9;49;3,965;0,626;;;;;;;;;;;;N;Y
FA_LIT167;Genitive;deserto di luce;desert of light;Storia di un'anima;Bazzero, Ambrogio;PROSE;;"Ma là non c'è la linea, il confine, la nostra
imbecillità; là regna un deserto di luce, un'amplissima curva che si
perde in un'altra curva, che finisce alla terra";30;TV;deserto;7;110;3,803;luce;4;730;3,437;0,837;;;;;;;;;;;;N;Y
FA_LIT308;Genitive;acque di fuoco;waters of fire;L'aeroplano del papa: Romanzo profetico in versi liberi;Marinetti, F. T.;POEM;;;;TV;acque;5;1113;3,825;fuoco;5;609;4,179;0,749;;;;;;;;;;;;N;Y
FA_LIT331;Genitive;vento di cimitero;wind of cemetery;L'aeroplano del papa: Romanzo profetico in versi liberi;Marinetti, F. T.;POEM;;"Vento di cimitero abbandonato,
  lasciami! lasciami!";7;TV;vento;5;334;3,83;cimitero;8;69;4,438;0,779;;;;;;;;;;;;N;Y
FA_LIT243;Genitive;vento di paradiso;wind of heaven;Il perduto amore;Fracchia, Umberto;PROSE;;"E a
poco a poco le palpebre mi si chiusero sul fioco e instabile lume della
candela, e mi trovai trasportato in quella soffice nube che dolcemente
si cullava al soffio di un vento di paradiso";33;TV;vento;5;334;3,83;paradiso;8;92;3,788;0,815;;;;;;;;;;;;N;Y
FA_LIT003;Genitive;alba di perla;dawn of pearl;Myricae;Pascoli;POEM;In questo brano lo scrittore guarda il cielo di notte.;Dov'era la luna? ché il cielo \ notava in un'alba di perla \ ed ergersi il mandorlo e il melo \ parevano a meglio vederla.;27;TV;alba;4;144;3,852;perla;5;30;4,006;0,723;0;1,667;2,133;2,467;2,8;75;0,07;1,33;1,6;1,6;3,8;Y;N
FA_LIT521;Genitive;tramonto di fiamma;sunset of flame;La freccia nel fianco;Zùccoli, Luciano;PROSE;;"Era Nicla seduta sopra un tronco abbattuto, rossa nel tramonto di fiamma;
 era Nicla tutta chiusa in un abito color d'acciaio,
 con un cappello morbido piantato di traverso sulla testa a guisa del feltro d'un arlecchino";38;TV;tramonto;8;68;3,857;fiamma;6;151;4,013;0,796;;;;;;;;;;;;N;Y
FA_LIT427;Genitive;tramonto di fiamme;sunset of flames;Il Re bello;Palazzeschi, Aldo;PROSE;;"E gli dava
un'anima, un corpo, tutto un amore, tutta un'angoscia, un dolore, tutta
una purità. Era l'inaspettato tramonto di fiamme dopo una giornata
limpida, adamantina";27;TV;tramonto;8;68;3,857;fiamme;6;151;4,007;0,802;;;;;;;;;;;;N;Y
FA_LIT454;Genitive;gelo di morte;frost of death;Ricordanze;Rapisardi, Mario;POEM;;"Cadran le foglie dal materno stelo,
    E col manto di gelo
    Si calerà da l'Etna il verno rio,
    Cadrò, cadrò pur'io,
    E calerà su me gelo di morte";42;TV;gelo;4;28;3,87;morte;5;815;3,138;0,894;;;;;;;;;;;;N;Y
FA_LIT218;Genitive;lettera di fuoco;letter of fire;L'Illusione;De Roberto, Federico;PROSE;;"Guglielmo si avvicinava; ella ebbe paura, e chinò gli occhi. Una
lettera di fuoco, riletta ogni ora, custodita sulla propria persona;
delle frasi inaudite che le tornavano a memoria, come una musica";30;TV;lettera;7;633;3,873;fuoco;5;609;4,179;0,754;;;;;;;;;;;;N;Y
FA_LIT024;Genitive;cuore di diamante;earth of diamond;L’isola del giorno prima;Eco;PROSE;Questo brano contiene delle riflessioni sull’amore verso una donna.;E come gli amorosi identificano, rivisitando un luogo, l’amata con ogni fiore, con ogni stormire di foglie e ogni sentiero, ecco, ora lui sarebbe morto d’amore accarezzando la bocca di un cannone… non celebravano forse i poeti la loro dama lodandone le labbra di rubino, gli occhi di carbone, il seno di marmo, il cuore di diamante?;;TV;cuore;5;672;3,875;diamante;8;30;4,213;0,635;;3,667;2,6;2,267;3,467;;;;;;;Y;N
FA_LIT206;Genitive;cuore di ferro;heart of iron;Spagna;De Amicis, Edmondo;PROSE;;"e va senza
posa, e non sa se sogna, o se è desto, o ubriaco, o impazzito; e nel suo
cuore di ferro comincia a penetrare il terrore";26;TV;cuore;5;672;3,875;ferro;5;206;4,251;0,889;;;;;;;;;;;;N;Y
FA_LIT424;Genitive;cuore di fumo;heart of smoke;Il codice di Perelà;Palazzeschi, Aldo;PROSE;;"— Quel suo cuore.... ch'ella sempre cercava.

— È quello di Perelà.

— Un cuore di fumo";16;TV;cuore;5;672;3,875;fumo;4;117;3,846;0,691;;;;;;;;;;;;N;Y
FA_LIT287;Genitive;cuore di fuoco;heart of fire;Distruzione: Poema Futurista;Marinetti, F. T.;POEM;;"M'afferra la vertigine subitamente alle viscere
  ed io mi slancio, e lascio a malincuore
  il gran porto assopito, per attraversare
  la città dal cuore di fuoco, gonfio d'angoscia,
  ed il suo soffocato rombar di caldaia";41;TV;cuore;5;672;3,875;fuoco;5;609;4,179;0,721;;;;;;;;;;;;N;Y
FA_LIT179;Genitive;cuore di ghiaccio;heart of ice;Rassegnazione: Romanzo;Capuana, Luigi;PROSE;;"Con lei il piacere
supremo doveva consistere nel far vibrare quei nervi ben difesi dalla
bianca opulenza delle carni, nel riuscire ad infondere almeno un tepore
di sentimento in quel cuore di ghiaccio";31;TV;cuore;5;672;3,875;ghiaccio;8;87;4,122;0,833;;;;;;;;;;;;N;Y
FA_LIT182;Genitive;cuore di sasso;heart of stone;Racconti e bozzetti;Castelnuovo, Enrico;PROSE;;"— Ma ella ha dunque un cuore di sasso? — proruppe Vittorio accendendosi
in volto.";14;TV;cuore;5;672;3,875;sasso;5;73;4,482;0,811;;;;;;;;;;;;N;Y
FA_LIT296;Genitive;passi di bronzo;steps of bronze;Distruzione: Poema Futurista;Marinetti, F. T.;POEM;;"Che vi libererà dalle sinistre pattuglie
  scandenti caute il silenzio con passi di bronzo
  con tintinni di sciabole, con stridor di manette
  che vi mordono i polsi";30;TV;passi;5;622;3,881;bronzo;6;56;4,315;0,78;;;;;;;;;;;;N;Y
FA_LIT297;Genitive;passi di piombo;steps of lead;Distruzione: Poema Futurista;Marinetti, F. T.;POEM;;"tutto,
  tutto si slancia a galoppo, con grevi passi di piombo";12;TV;passi;5;622;3,881;piombo;6;68;4,616;0,899;;;;;;;;;;;;N;Y
FA_LIT507;Genitive;prigione di cristallo;prison of crystal;I divoratori: romanzo;Vivanti, Annie;PROSE;;"Molti anni dopo, se talvolta accadde a Nancy di pensare che forse
sarebbe stato meglio se avesse trattenuta dai concerti e dal pubblico la
sua bambina--se dubitava di aver errato permettendole di diffondere sul
mondo tutta la sua giovine anima canora,--il ricordo del Silente
Violino, chiuso nella sua prigione di cristallo, le tornava alla
memoria: il Violino che era morto per non aver cantato, morto del suo
proprio silenzio";63;TV;prigione;8;82;3,89;cristallo;9;49;3,965;0,866;;;;;;;;;;;;N;Y
FA_LIT114;Genitive;volto di fiamma;face of flame;Alle Soglie;Gozzano;POEM;Questo brano parla di un incontro.;"Giungeva la Zia, ben degna consorte, molto dabbene, \ ligia al passato, sebbene amante del Re di Sardegna... \ ""Baciate la mano alli Zii!"" dicevano il Babbo e la Mamma, \ e alzavano il volto di fiamma ai piccolini restii.";40;TV;volto;5;345;3,899;fiamma;6;151;4,013;0,751;0;1,933;2,333;3,4;2;51;0,07;1,73;1,87;3,27;2,53;Y;N
FA_LIT532;Genitive;vie di silenzio;ways of silence;Esilio;Negri, Ada;POEM;;"Sorpassata la colpa ed il martirio,
    ondeggiando or disperditi in lucenti
    vie di silenzio e d’estasi";23;TV;vie;3;1;3,932;silenzio;8;381;3,254;0,901;;;;;;;;;;;;N;Y
FA_LIT342;Genitive;nebbia di luce;mist of light;La camicia rossa;Mario, Alberto;PROSE;;"L'Jonio e il Tirreno con onda purpurea, baciando i lidi
della Sicilia, la quale, avviluppata da una nebbia di luce d'oro,
pareva palpitasse in quel misterioso amplesso";27;TV;nebbia;6;98;3,959;luce;4;730;3,437;0,69;;;;;;;;;;;;N;Y
FA_LIT148;Genitive;padiglioni di fuoco;pavilions of fire;"La Principessa Belgiojoso
 Da memorie mondane inedite o rare e da archivii segreti di Stato";Barbiera, Raffaello;PROSE;;"Solo, in alcune sere, sulle silenziose
praterie, s'inarcano immensi padiglioni di fuoco";12;TV;padiglioni;10;42;3,977;fuoco;5;609;4,179;0,764;;;;;;;;;;;;N;Y
FA_LIT516;Genitive;chioma di luce;hair of light;Roberta;Zùccoli, Luciano;PROSE;;"Era la vita, l'anima incoercibile della giovanezza, da cui i raggi si
espandevano con lunga chioma di luce";18;TV;chioma;6;38;3,978;luce;4;730;3,437;0,774;;;;;;;;;;;;N;Y
FA_LIT511;Genitive;profumo di notte;scent of night;Roberta;Zuccoli, Luciano;PROSE;;"
Il giardino susurrava con un brivido ignoto alla vita diurna, e il
gracidar delle rane era cessato; ma certi fiori che non s'aprono, se
non nell'umidità dell'ombra, effondevano un profumo di notte romantica
ed antica";35;TV;profumo;7;159;3,979;notte;5;1152;3,982;0,738;;;;;;;;;;;;N;Y
