annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,DIFFICULTY_synthetic
1,Per molti anziani i figli sono stampelle che sostengono nella vecchiaia.,4.01796192,4.999841561,1.002472628
1,Dopo un temporale le nuvole sono perle di infiniti riflessi.,2.0,4.000757226,3.872907168
1,Nelle scelte di vita i dubbi sono ombre che offuscano la via.,3.999841834,4.999983299,1.99849882
1,Nei momenti di sconforto i sogni sono ali per viaggiare lontano.,4.000168071,4.999999496,1.924141833
1,Negli indecisi le opinioni sono pendoli che vanno di qua e di là.,3.962467362,4.997527371,1.999569462
1,Quando si toccano argomenti delicati le parole sono pietre che pesano sull'animo.,4.000113038,4.999997098,1.939913354
1,Nelle persone creative le menti sono vulcani di idee e progetti.,4.0,4.998498817,1.222700147
1,Al giorno d'oggi i passatempi sono oasi dal lavoro e dalla frenesia del quotidiano.,4.075853424,4.999941709,1.003172683
1,Specialmente nella adolescenza le passioni sono venti passeggeri e instabili.,3.976374865,4.924140345,1.999664794
1,In un percorso di miglioramento spirituale le virtù sono muscoli da potenziare.,3.999424299,4.999941709,1.99849882
1,Anche dopo molti anni i rimproveri dei genitori sono tatuaggi nella memoria.,4.000215792,4.99999774,1.851952836
1,Per gli animi sensibili le poesie sono sorrisi per il cuore.,4.001917795,4.999998932,1.014063628
1,I malati di artrosi dicono che le fitte sono coltelli nella carne.,4.003974037,4.99999774,1.924141896
1,Specialmente in filosofia certe teorie sono palazzi dalle fragili fondamenta.,3.999586144,4.999841564,1.999964731
1,Specialmente in America certe università sono portaerei che trasportano talenti.,3.923545496,4.962671099,1.995930006
1,Tutti sanno che le amicizie sono alberi che crescono con il tempo.,3.99526325,4.991421235,1.01798623
1,Se non curati con farmaci specifici certi malditesta sono trapani continui.,2.367027142,1.97364497,4.000172225
1,Nei paesi in via di sviluppo le economie sono bombe ad orologeria.,3.893111098,4.939869045,2.000003694
1,Nella memoria dei popoli le stragi sono cicatrici indelebili.,4.119198751,4.999999932,1.500000001
1,In certi momenti gli occhi sono oceani di profondità infinita.,3.998822059,4.999998932,1.99997248
1,Se negative certe amicizie sono virus che infettano il carattere dei giovani.,4.008374072,4.999796573,1.952574137
1,Nelle patologie psichiatriche le ossessioni sono gabbie che imprigionano.,4.003014248,4.999964644,1.999796588
1,Per alcune persone certi profumi sono chiavi per la porta della memoria.,4.002451178,4.999986993,1.982013791
1,Spesso nella vita le delusioni sono zavorre molto pesanti.,4.000020613,4.999925154,1.73105858
1,Nel mondo dello spettacolo certe conoscenze sono ascensori per il successo.,4.005016705,4.999447221,1.037326891
1,Per i soggetti depressi le crisi sono tunnel senza fine.,3.999830633,4.999992111,1.999088953
1,Nella vita le paure sono nodi che impediscono di andare avanti.,4.817564132,4.99999774,1.000000069
1,Nei momenti difficili le speranze sono stelle che illuminano l'anima.,4.000258288,4.999999694,1.119202918
1,Nelle società multietniche le lingue sono ponti tra le persone.,4.952571879,4.999995215,1.000000015
1,Nel caso di alcuni autori certi romanzi sono mappe che aiutano ad orientarsi nella vita.,4.029293325,4.999986993,1.268941427
1,Specialmente nelle relazioni sentimentali i torti sono crepe nell'anima.,4.000836205,4.999995215,1.999738835
1,Nel corso della vita le emozioni sono fulmini che sconvolgono la routine.,3.997517842,4.999978555,1.999903899
1,Quando c'è diffidenza i segreti sono muri tra le persone.,4.001141974,4.999986993,1.622459333
1,In politica e nel commercio certi discorsi sono fiumi che travolgono.,3.486387925,4.029308015,2.000203412
1,Nella società umana i rapporti sono corde che ci legano agli altri.,4.00402474,4.999925154,1.004070139
1,Senza il perdono i rancori sono tarli che divorano l'anima.,4.320754157,4.999998629,1.977022645
1,Negli animi fragili le tentazioni sono reti molto pericolose.,4.000013911,4.999992111,1.991422518
